1.905061801482265338e+00,0.000000000000000000e+00,-4.773981033253185419e-04,0.000000000000000000e+00.1,9.957459690501713201e-03,0.000000000000000000e+00.2,-0.000000000000000000e+00,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-0.000000000000000000e+00.1,0.000000000000000000e+00.5,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00.6,-0.000000000000000000e+00.4,-2.969009836650393641e-01,0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,-0.000000000000000000e+00.5,0.000000000000000000e+00.10,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-4.599374329610879386e-02,-2.397361306970533304e-02,-0.000000000000000000e+00.6,0.000000000000000000e+00.13,-5.933928896865470204e-02,0.000000000000000000e+00.14,0.000000000000000000e+00.15,-0.000000000000000000e+00.7,-7.164084930527708783e-02,-2.510917440867576067e-01,0.000000000000000000e+00.16,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-1.379663173460005110e-01,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,0.000000000000000000e+00.17,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.15,-9.260960371201748531e-02,-0.000000000000000000e+00.16,-6.505879446993078075e-01,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-1.473619716576066337e-02,0.000000000000000000e+00.27,0.000000000000000000e+00.28,1.817626172594189737e-01,0.000000000000000000e+00.29,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,0.000000000000000000e+00.32,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-0.000000000000000000e+00.21,0.000000000000000000e+00.36,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-9.663984674691443455e-02,-2.275666039914115563e-02,-5.742192295463511426e-02,5.644327199922281185e-02,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.37,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.38,-0.000000000000000000e+00.29,-3.931354009099722463e-02,-0.000000000000000000e+00.30,0.000000000000000000e+00.39,0.000000000000000000e+00.40,-3.103779499133700326e-01,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-2.951976938307724826e-02,0.000000000000000000e+00.41,0.000000000000000000e+00.42,-0.000000000000000000e+00.33,-9.503989941666750318e-02,-0.000000000000000000e+00.34
0.0,3.216320023262573,-0.04535674801342274,-0.38933621395083473,-0.824745920515867,0.0,-0.0,-0.2476976238424189,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.012821707596436463,0.0,-0.0,0.0,0.0,-0.0,-0.006483198535015782,-0.0,-0.0,-0.056249292157503475,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.12040623297725904,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09694629691583374,-0.0,-0.19220848586345976,0.03799744342731311,-0.0,-0.0,-1.3822694425234183,-0.056105682780394496,-0.0,-0.0,0.0,-0.22640196817542332,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.18205610632471597,-0.0,-0.0,-0.0,-0.016006737237299475,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.06208195510283639,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1007279342911722,0.0,-0.0,-0.0,-0.0,-0.0
-0.00047739810332531854,-0.04535674801342274,3.1037309992839224,0.0,-0.0,-0.1279310954479496,-0.0,-0.4326148323490442,-0.020186692851501587,-0.026172894925390884,-0.0,-0.0,0.0785131378140812,0.0,0.0,-0.0,-0.0,-0.18506968559329076,-0.040610843969132955,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0656932576542401,0.0,0.034312164440882406,0.0,-0.0,0.0,0.05160271332812637,-0.0,-0.0,0.0,-0.0,-0.9146808018181827,-0.0,-0.0,-0.7174858556425683,-0.4493091704509576,-0.0,-0.18646468328574056,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.10760283291721076,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.02552205715780748,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09277556316237946,0.0
0.0,-0.38933621395083473,0.0,2.8490119067147672,-0.8401047984689876,0.0,-0.29117913490802205,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.10133556557139808,0.0,-0.014071621512582016,0.0,-0.0,0.0,-0.0,-0.03395660348154765,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.14745442219787963,-1.0669547910089885,0.0,0.26482136216341445,-0.032047420212590924,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0927670568093019,0.0,-0.11054065336461263,-0.002095382293298437,-0.0,0.0,0.0,0.03820467966693596,0.0,-0.0,-0.0,0.19023074919490973,0.0,0.0,-0.0,0.0,-0.0,0.12797353414697912,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.1270290680262392,0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.009957459690501711,-0.824745920515867,-0.0,-0.8401047984689876,2.78363270580784,-0.0,0.0,-0.0,-0.0,-0.0,-0.08344269699098894,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.2145243686495452,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.05257113754976565,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1318263030931702,-0.0,0.0,0.0,0.0,0.0,-0.13978378311703346,-0.0,-0.5269126021668904,-0.3386546586350227,0.0,0.0,-0.0,-0.027763798292056,-0.029919465458438863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2600825920612359,-0.0,-0.0,-0.0,0.09017373579318333,0.0,-0.0,0.10865078732713172,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.008231032364634022,-0.13034185397655515,0.0,0.13473960030113608,-0.0,-0.0,-0.0,0.0,0.012281354217840774,-0.0,0.0
0.0,0.0,-0.1279310954479496,0.0,-0.0,3.889341348388331,0.0,-0.0,-1.05631598746953,-0.0,-0.17059063328903587,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.06390822629246663,0.0,-0.9243206575203712,-1.3401903988514392,0.0,-0.12412081175046824,-0.0,-0.0,-0.06412527505633996,-0.0,-0.0,-0.10114568343400399,-0.14511127610938987,-0.0,0.1086684903652571,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0058047819186035545,-0.0,-0.07008490657775951,-0.0,-0.0,-0.1128712250261938,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.2680619887283296,0.0,0.0,0.0,0.05047851428490418,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.29117913490802205,0.0,0.0,2.7906475801181374,-0.20891405908192512,0.0,-0.0,-0.0,-0.0,0.024479095602913482,-0.0,-0.0,-0.0,-0.010195692953316732,-0.16391455620377562,-0.13428561563900257,-0.0,0.0,0.0,-0.0,-0.1778129208169637,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.06598408565223599,0.0,0.0,-0.0,0.0,0.19173418682878984,-0.0,0.0,0.0,0.014530764512672044,0.0,-0.0,-0.0,-0.0,-0.0,-0.7263453556173997,0.0,0.0,0.0,-0.6932003638042317,0.0,0.0,0.07568660370956294,0.0,0.0,0.07880885890204543,0.0,-0.0,0.0,-0.7030956095631161,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.08144420293219574,-0.0987144748534791,0.0,-0.027434528541681755,-0.0,-0.0,-0.0,0.0,0.0,0.16261849045523907,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.011181128046575391,-0.0
0.0,-0.2476976238424189,-0.4326148323490442,-0.0,-0.0,-0.0,-0.20891405908192512,3.0652276862103784,-0.0,-0.0,-0.0,0.0,0.049010219331705206,-0.0,0.0,0.0,0.0,-0.21531825456484996,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.1133155021732366,0.0,-0.0,0.0,0.0,0.0,0.0,0.27241557310220493,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.02697931745405646,0.0,0.03661798145206968,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.9406966157581561,-0.9538853147405267,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.12850503586385523,-0.0,-0.07226083843195555,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.13065438331929582,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
0.0,0.0,-0.020186692851501587,0.0,-0.0,-1.05631598746953,0.0,-0.0,3.798802821342059,-0.0,0.0,0.12337604205924084,0.0,-0.0,-0.0,0.0,0.0,-0.0032443373293992795,0.0,-0.0,-0.22950126256018571,0.0,0.0,0.0,-0.0,0.0,0.0,-0.011285713917200728,-0.11559119813407875,0.0,0.0,0.0,-0.050974590465070274,-0.0,-0.0,-0.4550569518793824,0.0,0.0,0.021059905541418837,0.0,0.0013641737687702,0.0,0.0,0.0,-0.0,0.0,0.02731277171411404,-0.0,-0.0,0.0,0.0,-0.0,0.11288585185544968,0.0,-0.0,-0.41094254434376715,-0.0,-1.6552479770730515,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.03310795440257799,0.0,-0.0,0.0,-0.0,-0.024243742127745473,0.0,0.0,0.24594051441732384,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.053440966336047856,-0.0,-0.0,0.0,-0.0,-0.0,0.02477388386948304,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1037402117175581,0.0
-0.0,-0.0,-0.026172894925390884,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.3183713000634105,-0.0,-0.4589551030596829,0.0,0.0,-0.0,-0.11566158077870274,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.2015544430301548,-0.0,-0.3807951603608895,-0.0,0.0,-0.13299435663957573,-0.0,0.07454911192710857,-0.01722812353231928,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.057311593505642806,-0.0,0.0,-0.0,0.03496898213944224,0.0650120678905695,0.0,0.046101111877048566,0.16281373989265427,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8318926552275743,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.09377379319591635,-0.0,-0.0,-0.08390509268026186,-0.046163019091822126,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.012442907250507493,-0.4712740278238494,0.05396561361821234,0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,-0.0,-0.0,-0.08344269699098894,-0.17059063328903587,-0.0,-0.0,0.0,-0.0,2.005404282179735,-0.7950620340559161,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.05883816139824393,-0.0,0.00994867503141485,0.0,0.0,-0.0,0.3015019760258699,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.059360362076135695,0.0,0.0,-0.0,-0.0012080997512780955,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.04460076464176078,0.06899025654803544,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.20170412312180008,-0.2289437362468661,-0.027347822319721212,-0.0,-0.0,-0.07969457987420125,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.22493595840364383,-0.0,-0.0,0.0,0.0,-0.0,0.20908376904088485,0.00844864306703384,0.0,0.037272039998081714,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.12337604205924084,-0.4589551030596829,-0.7950620340559161,2.906391901601455,-0.02403610805869144,-0.0,-0.0,-0.004585841037041809,-0.2104049599095016,0.0,-0.0,0.10781978150354228,0.0,-0.0,0.0,-0.09768638642270883,-0.10702521236363025,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.07215702925049344,0.0,-0.06892986019171353,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.10696027642503232,0.0,0.0,0.0,-0.3690901365391112,-0.0,-0.9306429309022856,-0.0,-0.0,-0.0,-0.048993934677894646,-0.0,0.0,-0.0,0.0,0.09436735224341386,0.18096791001052265,-0.0,0.01461613363598968,-0.0,-0.00856376412060555,-0.0,-0.0,-0.05842212576679279,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
-0.0,0.0,0.0785131378140812,0.0,-0.0,0.0,0.024479095602913482,0.049010219331705206,0.0,0.0,0.0,-0.02403610805869144,4.08495375386488,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.07612559429996316,-0.0,0.0,0.0,-0.0,-0.010130126907012505,-0.0,0.0,-0.0,-0.13803736365031893,0.04747734199017872,-0.11679674691715268,-0.0,-0.3248335359708096,0.02573523794707656,-0.0,-0.0,-0.0,-0.11636289703117147,0.0,-0.1311803621053148,-0.08840666186741873,0.004585340193496324,-0.021850022943322188,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.06318592725590448,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.04398415936171866,-2.538002050337252,-0.8568472115587276,0.0,0.10856786611119525,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.03208182904485161,-0.0,0.0,0.0,0.09839589426917086,-0.0,0.08661653786144542,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04413019344756711,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029582718078681705
