2.222701229619298946e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-1.118132652567820629e-01,-1.290492529806996913e-01,-0.000000000000000000e+00.5,0.000000000000000000e+00,-5.278662439866257938e-02,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-1.362274324394906200e-01,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,0.000000000000000000e+00.1,-6.437412874172013244e-02,0.000000000000000000e+00.2,-0.000000000000000000e+00.15,4.868720495792896313e-02,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-0.000000000000000000e+00.16,0.000000000000000000e+00.5,-0.000000000000000000e+00.17,-5.038235204702293246e-02,0.000000000000000000e+00.6,-0.000000000000000000e+00.18,0.000000000000000000e+00.7,-0.000000000000000000e+00.19,0.000000000000000000e+00.8,-0.000000000000000000e+00.20,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-0.000000000000000000e+00.21,0.000000000000000000e+00.14,0.000000000000000000e+00.15,-0.000000000000000000e+00.22,0.000000000000000000e+00.16,-2.190388814802665951e-01,-0.000000000000000000e+00.23,-4.942638162383486966e-01,-1.501080893639736291e-01,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.17,-1.971110303951722695e-02,-3.779057356447002025e-01,-0.000000000000000000e+00.26,-4.316049138032225507e-02,-1.498486448405713656e-01,0.000000000000000000e+00.18,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-2.991350022365347194e-01,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.19,-0.000000000000000000e+00.35,0.000000000000000000e+00.20,-0.000000000000000000e+00.36,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.37,0.000000000000000000e+00.23,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,0.000000000000000000e+00.24,9.515132784054204651e-02,0.000000000000000000e+00.25,1.152735252340182509e-01,0.000000000000000000e+00.26,-0.000000000000000000e+00.40,0.000000000000000000e+00.27,1.249749568966337515e-01,-0.000000000000000000e+00.41,0.000000000000000000e+00.28,-0.000000000000000000e+00.42,-1.768587918803208869e-01,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.43,0.000000000000000000e+00.32,0.000000000000000000e+00.33,-2.348773575951584314e-01,-0.000000000000000000e+00.44
-0.0,3.799114698285414,-0.04712034516976008,-0.7595012096945366,-1.2025518281264511,-0.0,-0.0,-0.2486552275229957,-0.0,0.0011437098952155114,0.0,0.0,-0.0,-0.0,0.0,-0.012196994486556404,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.034794893014322086,0.021570569770023397,0.0,0.0,0.0,0.015946151079995443,0.0,-0.0503860015471006,0.0,0.0,0.0,0.0,0.0,0.02290883054546583,-0.0,0.0,0.1546652077399429,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.6735620221507855,-0.0,-0.9143203224219896,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.06237207593312864,-0.0,-0.0,-0.0
-0.0,-0.04712034516976008,4.401160040433036,0.0,-0.0,-0.6358583998599393,0.0,-0.093670531355284,-0.6284014138409265,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.19277588168863355,-0.0,0.0,-0.0,-0.0,0.0,-0.06381685095906113,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.01853046904019035,0.0,0.0,0.03464186667631138,-0.0,0.0,0.0,0.06432560039631441,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.6260576139499325,0.0,-0.24390311457541347,-1.4241903224717776,-0.028785482057794277,0.0,-0.5455433283849728,0.0,0.0,0.0,0.0,-0.10412924340344536,-0.0,-0.04264557042360598,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.017939418995653086,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-0.0,-0.7595012096945366,0.0,2.7377573754823645,-0.9824403890766019,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09224395822126612,0.0,-0.036791775839776365,-0.0,0.0,0.0,0.0,0.0,0.2267474595542573,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.02365261717325213,-0.0,-0.0,0.0,-0.0,-0.5299292297563042,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.1131779118172468,-0.06643796213862176,0.11349428928180053,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.016138901227108537,-0.0,-0.0,0.0,0.0,-0.15132927652537523,-0.0,0.0,0.0,0.0,0.0,0.045078799476979126,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.23852448349395217,0.0,0.0,-0.0
-0.0,-1.2025518281264511,-0.0,-0.9824403890766019,3.175902009628615,-0.0,0.0,-0.0,-0.16373090055532427,-0.0,-0.0,-0.0,-0.04847231401785245,-0.0,-0.0,-0.0,-0.0038556556241886087,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3023229690974349,-0.16281911522195225,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1408800020766398,-0.15693302449531013,-0.0,0.0,-0.0,-0.0,0.04827600659544348,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
-0.0,-0.0,-0.6358583998599393,0.0,-0.0,4.559040528264799,0.0006413465699237779,-0.0,-0.7191513837463639,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.09333868761851584,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0052269682883103056,0.11383232570398658,0.0,-0.0,0.007390786321067055,-0.0,0.0,0.0,0.024564563767233115,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.2771671165493019,0.06694854523200888,-0.49959738878223514,-1.00611562049452,-1.4044032128425203,0.0,-0.137270991375202,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.03328425157127997,0.0,0.03694886659681327,0.0,0.04955708266152841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
-0.11181326525678206,-0.0,0.0,0.0,0.0,0.0006413465699237779,2.7036788351243644,-0.011232208445492529,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0022737079415604535,-0.3321332275082099,-0.36937177850662406,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.4373817866875436,-0.2158313827505852,-0.0,-0.27490176850728926,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.062144637375257834,-0.018934014716816397,-0.0,-0.4431899605840118,0.0,0.0,0.0,-0.2269284744574768,0.0,-0.0,-0.0,0.0,-0.013165425529462165,-0.0,-0.0,-0.0,-0.0,-0.30295366539478225,-0.07949681909783408,-0.0,-0.0,-0.0,-0.0,0.0,-0.11276707548153604,0.0,0.0,-0.0,0.0,-0.19664929623279623,-0.012919809151623076,0.0,0.19485812084556425,-0.0,0.05686149393971159,0.20675038644100524,0.0,-0.0,0.0,-0.0,0.0,-0.06849177404904129,-0.2744095231207435,-0.12076090540105644,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.1290492529806997,-0.2486552275229957,-0.093670531355284,-0.0,-0.0,-0.0,-0.011232208445492529,4.312936113748512,-0.24870919258711216,0.0,0.0,0.0,0.0,0.0,0.0,-0.2771931583564546,0.0,-0.26063272328525383,0.0,-0.0,-0.16381329697576652,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.12784258790955608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10046197814940908,0.0,0.0,0.06503251055421753,0.0,0.0,-0.0,-0.959725583775014,-0.018450096891487355,-0.13389143892866126,-0.0,-0.0,-1.508468438585893,-0.635206946532724,0.0,0.03469199264307913,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.33456916467604764,-0.0,-0.0,-0.022545956104406524,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2657010330021808,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.6284014138409265,0.0,-0.16373090055532427,-0.7191513837463639,-0.0,-0.24870919258711216,5.1960866482521295,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.4410264774627459,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.14275952706808473,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.21730417990225567,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.33364182175688833,-0.6995728925842104,-0.4736456868801765,0.0,-1.3571020420403663,-0.0,0.0,-0.0,-0.0,-0.142095782501599,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.039192847657812224,0.0,-0.0,-0.0,-0.0,-0.12593474112541733,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
0.0,0.0011437098952155114,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,2.0734782371565355,-0.29826400254116014,-0.3675090068314772,-0.0,-0.016380874458126127,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.04234257350088524,-0.32322348507563214,-0.019038978828378277,0.0,-0.0,-0.0,0.0,-0.0,-0.026765751395651377,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.24443509704403107,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.48845983235023055,-0.0,-0.0,0.0,-0.08096415105926254,-0.0,-0.0,-0.046921568864436256,0.0,0.0,0.0,0.0,0.1046456512632584,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.011434972411362347,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.03538840455532557,0.0,-0.0,-0.0,-0.0,0.014029895140995076,0.0
-0.05278662439866258,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.29826400254116014,2.5116080276258725,-0.43609065931508006,-0.00950678648956184,-0.0,-0.16538941676300703,0.0,-0.05175268136455383,0.0,-0.2893271695347224,0.06182493434086411,-0.0,0.0,-0.0,-0.16189679845169072,-0.2181336803115272,-0.0,0.02849824323735769,-0.0,-0.0,0.0,-0.0,-0.20307666629989415,0.00035664687815932034,0.0,0.01215303990185608,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.15030766397546919,0.0,-0.0,0.006782623928484896,0.01342046087306622,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.6400304119180289,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.10094653985510804,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.1001010351685804,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.07237746486685888,-0.0,-0.0,-0.08181911190108514,-0.0027305735344619,-0.0,0.0,0.0,-0.0
