1.520623883992997749e+00,-0.000000000000000000e+00,-5.514501030973253254e-02,-0.000000000000000000e+00.1,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00.2,2.160249522089310314e-01,-2.771349286587839258e-02,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,4.153759930427914498e-02,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-8.017831717682094572e-02,-0.000000000000000000e+00.8,5.679481404852626536e-02,-7.637917366604381197e-02,0.000000000000000000e+00.3,-4.111137830022595224e-02,-2.478498488570125002e-01,-6.792411045701725325e-02,-9.543149966473177259e-02,3.654309021684889330e-02,4.795992027485063147e-02,-0.000000000000000000e+00.9,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-0.000000000000000000e+00.10,-1.329222812981923352e-01,-7.161017836864206829e-03,0.000000000000000000e+00.7,2.028619478428727307e-01,0.000000000000000000e+00.8,-1.487624077164420300e-01,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-1.850725915163592417e-01,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-0.000000000000000000e+00.16,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-1.730921581006503729e-01,-0.000000000000000000e+00.17,0.000000000000000000e+00.14,0.000000000000000000e+00.15,3.426173001859730144e-02,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.18,-4.096637867672251604e-02,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,2.379324474665314992e-01,-0.000000000000000000e+00.21,-2.179104513834307852e-02,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.24,0.000000000000000000e+00.25,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,3.040311789911952223e-02,0.000000000000000000e+00.31,0.000000000000000000e+00.32,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,3.282245282657206831e-01,-0.000000000000000000e+00.25,0.000000000000000000e+00.36,0.000000000000000000e+00.37,0.000000000000000000e+00.38,-5.478225425743125194e-04,7.063827878797995785e-02,0.000000000000000000e+00.39,0.000000000000000000e+00.40,0.000000000000000000e+00.41,0.000000000000000000e+00.42,-0.000000000000000000e+00.26,-2.184700870138588102e-01,-0.000000000000000000e+00.27
-0.0,1.7395862999291172,-0.06876763786538193,-0.34535911054904767,-0.22978485992542477,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.019095280163289128,0.0,0.0,0.0,0.0,-0.15528420140271967,0.29383941120140844,-0.0,0.0,0.0,0.07143939539360683,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.10775402855021755,0.09050095110777816,0.0,0.0,-0.14030341255774667,-0.0068306842321227456,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.4503951796445137,-0.0752085380731335,-0.2174117988119411,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.1330169129257029,0.046087710761762914,-0.0,-0.0962329785865023,0.0,0.0,0.027624212765882016,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.16435047899173771,-0.0,0.0,-0.0,-0.0,0.0,0.25696458587395177,0.0,0.0,0.0,0.018343113212059513,-0.0,-0.13464468951033337,0.0,0.0,0.0
-0.055145010309732526,-0.06876763786538193,1.992990132248445,0.14267471571176976,0.0,-0.144678308189563,0.0,-0.0,-0.20573387480714397,0.0,-0.0,-0.18178984924842356,-0.0,-0.0,-0.06712003310818429,0.0,-0.012007461037166593,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.12877112883774244,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.009545884575601175,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.04594136289436823,-0.0,-0.0,-0.10028580023019544,0.0,0.06456160718645927,-0.0,-0.7076967695271731,0.0,-0.19303643669336276,-0.0,-0.0,-0.0,-0.0,-0.017297808632013748,-0.0,-0.0,-0.0364781829644656,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.18766571726910153,-0.0,0.07656804781436403,-0.0,-0.0,0.0,0.0,-0.0,0.08954781706181203,0.0,0.0,-0.0,-0.07591782275601619,-0.0,0.0,0.0,-0.0,0.0592084245325761,-0.0,0.0,-0.14477584995622367,-0.0,-0.0,-0.0,-0.0
-0.0,-0.34535911054904767,0.14267471571176976,2.220612302843871,-0.0,0.029870871000019464,0.0,-0.40222654219452514,0.0,-0.1481294654713114,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.05460731091364664,-0.0,0.01356548314560169,0.0246984677372408,0.10724619195067409,-0.0,-0.02240900283157519,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.187501297102406,-0.0,0.0,-0.020348065890317044,-0.0,-0.0,0.0,0.09728322018060372,0.0,-0.0,-0.0,-0.008666456602276934,0.04611778628864328,0.0,0.01857654242545293,0.0,0.0,0.0,0.0,0.0,0.0,-0.9256997162017491,0.04980598187747203,0.09478087884831422,-0.04733011870196247,-0.0,0.0,-0.08013398301644206,-0.01943674736556055,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.09196163025541695,-0.0,-0.0,0.0,0.0,0.10196906546194805,-0.0,-0.0,-0.26588973647683195,-0.0,-0.0,-0.0,-0.12964707659545127,0.0,0.0,-0.0,-0.28043193757107526,-0.0,-0.0,-0.0,-0.03242940504331955,-0.0,0.0,0.0031620501192909426,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.05164789955355602,0.0,0.0
0.0,-0.22978485992542477,0.0,-0.0,3.19589599856039,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.038208359884481354,0.0,0.0,-0.04310012509518003,0.34108860682169434,0.0,0.2314129271689477,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.16758632286431133,-0.0,0.0,-0.024956039172745744,0.0,-0.0,-0.0,-0.0,-0.04468961477989362,0.08516303892513494,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.2549337159352764,-0.0,-1.494717539308265,-0.9089608717169336,0.0,-0.0,-0.4303327225575758,0.0,0.0,-0.08935278922821756,-0.043575392072580175,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.09812929340022422,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.2502399542682569,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.03532121060644515,-0.0,0.0,0.0,-0.0,0.0
0.0,-0.0,-0.144678308189563,0.029870871000019464,-0.0,4.244719080990293,-0.0,-0.0,-0.6110420220535209,-0.07396022964088729,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.11285270597939331,0.0,-0.0,-0.031954589047994864,0.0,-0.0,-0.011939797069122508,0.0,0.002509968681957026,0.0,-0.09653248374956681,-0.0,-0.0,-0.0,-0.0,0.0,0.026716201319321016,0.0,0.0,-0.0,0.0,0.0,0.0,-0.12736894843720822,-0.0,0.0,-0.0,0.0,0.2636916828074733,-1.397701858780405,-1.3701027422236332,0.03905684062644776,-0.2033274575226399,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.20244404949435507,0.33070065253806785,-0.0,0.0,0.0,-0.0,-0.0010403476381016083,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.10412687275527772,0.0,0.0,0.0,-0.0,-0.0,0.0,0.07652041318739769,0.0,0.0,0.2679292768519972,0.0,-0.0,0.2299133201940492,0.0,-0.1240260025303052,-0.0
-0.0,-0.0,0.0,0.0,0.0,-0.0,3.321349390600736,-0.0,-0.0,-0.0,-0.12223758965856174,0.0029910682170416524,0.04662649430034135,-0.0,-0.0,-0.3880236675274985,0.0,-0.0,-0.0,-0.9289374381030024,-0.1554026837680214,0.06636686415130648,-0.0,0.0,0.009329915432773199,0.0,-0.0,0.15638158279586958,-0.0,0.0,0.0,0.0,0.11280030489913932,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.7368920620363497,-0.0,0.0,0.0,0.0,-0.0,-0.34334298296103594,-0.0,-0.0,-0.0730550217172213,-0.03016328981089439,0.0,0.0,-0.1564516632610299,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.5577490519611491,0.0,0.0,0.0,-0.0,-0.0,-0.2972120742304017,0.0,0.0,0.0,-0.08596568808138073,0.022759477733713365,0.0,-0.5494728593769062,0.0,0.12391909230353348,-0.0,0.0,0.0,0.0,0.04180473033501901,0.0,0.0,0.006294657188241772,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.11377234565416156,0.019818147282953023,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.40222654219452514,-0.0,-0.0,-0.0,3.1881805070750224,-0.16676828277967143,-0.0,-0.26001070119878184,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.5174334221011369,-0.18797935316969297,-0.0,-0.0,0.0,0.0,0.1455041690786052,0.0,-0.0,-0.11500640482539888,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.17177486102649756,0.0,0.0,-0.0,-0.0,-0.0532732807529803,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.307365543389708,-1.08271603398912,0.0,-0.04180674399070125,0.0,0.0,-0.0,-0.0,-0.0,-0.09683406568054166,-0.07201597675179512,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.1745933470737296,-0.0,-0.0,-0.04532413522467402,0.0720528945000281,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.21602495220893103,-0.0,-0.20573387480714397,0.0,0.0,-0.6110420220535209,-0.0,-0.16676828277967143,3.4771150282622982,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.12181428527881846,0.2347358272343808,0.0,-0.0,0.0,0.0,-0.22280900369429757,0.0,-0.0,0.0,-0.0,0.0,0.0,0.15496468645211303,0.0,-0.5335664083898694,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.2747489046468375,-0.0,-0.43178403045079405,0.0,-0.8672495021294448,-0.0,-0.0,-0.09715651518125001,-0.0,-0.0,-0.0,-0.0,-0.2392052513136771,-0.0,-0.0,0.0,0.0,-0.31702008957217526,0.1727455032746182,0.0,-0.0,-0.18357359603987317,0.01167279425675934,-0.2691052801481364,-0.0,-0.030123058046720975,-0.0,-0.0,0.0,-0.0,0.0,-0.12334366054655456,0.0,0.0,-0.0,-0.0,0.0,0.0,0.11662593412302846,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
-0.027713492865878393,-0.0,0.0,-0.1481294654713114,0.0,-0.07396022964088729,-0.0,-0.0,-0.0,2.897855399748241,-0.6808638698578261,-0.4283677449966437,0.0,0.0,0.0,-0.0,-0.14569993045920493,0.025340658691667874,0.0,-0.0,-0.0,0.0,0.0,-0.08345504475173475,-0.0,0.0,-0.0,-0.045585300682376685,-0.06505778173934833,-0.0,-0.0,-0.0,-0.07846138038283136,0.0013711960235238047,0.38129057190234544,-0.0,-0.0,-0.29660421448435814,-0.0,-0.34093153461493075,0.0,0.0,0.0,0.0,0.0,-0.0,0.03763631778869832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.3115027403506263,-0.22631899430772945,-0.03993902529029043,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.3614585920166418,-0.0,0.0,0.026413992530266904,-0.0,-0.37639833615192,-0.0,-0.19471595972537448,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.15861895408477192,-0.0,-0.0,0.0,0.11324750820136834,-0.0,0.03128580285982208,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.12223758965856174,-0.26001070119878184,-0.0,-0.6808638698578261,1.9180384498717131,-0.39116006425797145,0.009344257868897584,0.0,-0.0,-0.011618254708886772,-0.0,-0.0,0.22095317649556184,-0.0,-0.0,0.15119463371442596,0.0,-0.0307907488161388,0.24257995396232193,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04003289250157032,-0.0,-0.0,-0.0,-0.10576477327325944,-0.0,0.0,-0.0,-0.0,0.0,-0.030092113870792792,-0.0,-0.0,-0.18589090954240145,-0.0,-0.0,-0.09856751535423872,0.0,-0.0,0.0,-0.12517445560022747,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.22822783123370788,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.04433742531640401,-0.1762939242996626,-0.06711726898571808,-0.0,-0.0,-0.0,-0.17979386487869017
