1.991088298691437108e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,0.000000000000000000e+00,-0.000000000000000000e+00.2,0.000000000000000000e+00.1,-1.619943288668175205e-02,0.000000000000000000e+00.2,0.000000000000000000e+00.3,-0.000000000000000000e+00.3,-5.349042990467794273e-02,-9.584386166333228735e-03,0.000000000000000000e+00.4,-0.000000000000000000e+00.4,-7.884498256208888334e-02,-4.594159274418190275e-01,-9.696578916797723990e-02,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-6.077231370000092843e-03,-8.262309994882648112e-02,-8.960236998839259115e-02,-1.267587427872895467e-01,-0.000000000000000000e+00.7,-3.714599496503864784e-01,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-0.000000000000000000e+00.12,1.112039997626559917e-01,-4.018484535999680522e-03,0.000000000000000000e+00.9,-1.221193508389877558e-01,-0.000000000000000000e+00.13,0.000000000000000000e+00.10,-0.000000000000000000e+00.14,0.000000000000000000e+00.11,-0.000000000000000000e+00.15,-1.650566642101358172e-01,0.000000000000000000e+00.12,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,0.000000000000000000e+00.13,-3.048608307030205994e-02,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,0.000000000000000000e+00.14,-0.000000000000000000e+00.23,1.696938747582415336e-02,0.000000000000000000e+00.15,-0.000000000000000000e+00.24,0.000000000000000000e+00.16,2.323166581736161099e-02,0.000000000000000000e+00.17,-0.000000000000000000e+00.25,-2.491918590029362501e-01,-4.022077194831846780e-02,0.000000000000000000e+00.18,-2.956751520428309646e-02,-2.496777748315322579e-02,-0.000000000000000000e+00.26,-1.102243104220658465e-01,-0.000000000000000000e+00.27,0.000000000000000000e+00.19,2.205464205536626365e-01,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.20,-2.223195232735385996e-01,-2.276779804509868749e-02,2.105820925278897304e-01,0.000000000000000000e+00.21,-0.000000000000000000e+00.30,-1.409479382072312825e-01,-0.000000000000000000e+00.31,0.000000000000000000e+00.22,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,-1.237791625194056971e-01,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40,0.000000000000000000e+00.25,-0.000000000000000000e+00.41,-0.000000000000000000e+00.42,-0.000000000000000000e+00.43
-0.0,2.109452285828916,-0.34139156225009626,-0.07735638228044726,-0.0,0.0,-0.19863933071327425,-0.060900349825435615,-0.012778655964726547,-0.12338866573491009,-0.0,-0.0,0.0,0.012021164233565288,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06395288122482795,-0.0,0.0,-0.0,-0.0,0.0,0.04882696815745238,0.0,-0.11973527482613588,-0.0,0.0,-0.0,0.0,0.0,0.09165020796257171,0.0,-0.2945445657412312,-0.0,0.0,0.024489483398403983,0.0,-0.0,0.03540556553053746,0.04909768496164893,0.0,-0.0,0.0,-0.14764622648867137,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.10982299666095592,0.0,-0.0,-0.0,0.0,0.0,0.0,0.018812042595531864,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.57071813629602,-0.05984980034528283,0.04200064805321054,-0.0,0.0,-0.0,0.0,-0.28491902772277766,-0.2515963867798885,-0.06348179314770572,-0.09362215979049118,-0.0,-0.0,0.0481241658059088,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.2297602188024552,-0.12618183882084996,0.0,0.0
-0.0,-0.34139156225009626,2.58696729100307,0.0,0.0,-0.8672585622337821,0.0,0.0,-0.31870356875765327,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.1553591160151575,-0.0,-0.03400052150711803,0.0,-0.0,-0.018742109032099177,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.06367697415821365,-0.0,-0.39771995760318074,0.0,-0.0,0.19007171269900133,0.0,-0.14764849743433564,-0.0,-0.0,-0.0,0.24389686402012847,-0.026312947447926196,0.2684206718451271,0.13204866802585224,0.04839001241767528,-0.0,-0.0,-0.005706085070456776,-0.05270136796363433,0.04495693661927217,0.0,0.0,-0.1096651510655422,-0.0,-0.0,0.0,-0.0,0.0,-0.3713177125787178,-0.0,-0.0,-0.18655452854272583,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02948530937541418,-0.0,-0.0,0.0,0.0,-0.0,0.04137305089021857,0.0,-0.0,-0.04480908874301243,-0.0,0.0,-0.0,-0.3720474384339901,0.0,-0.0,0.0,-0.0,-0.0,0.07402229532736054,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.0,-0.07735638228044726,0.0,2.097960521007101,-0.0,0.15905239719284311,-0.0,-0.45843642608584656,-0.0,-0.0,0.0,-0.1956288192614164,-0.0,0.0,0.07569794121669478,0.03686450024823908,0.0,0.02555635700981464,0.0,0.01252797347257134,0.0,0.0,-0.0,-0.0,0.05340178859654799,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.034331543745128444,-0.0,0.04887202404198682,-0.0,-0.0,-0.0,0.07454002093097024,0.006416159488249447,0.0,-0.2730350865287477,-0.14320260892335668,-0.0,0.0,-0.0,-0.11774910923200523,0.15629906034977964,-0.0,-0.0,0.052516367666828795,0.0,0.0,0.07808813341228259,0.0,0.0,-0.14513853522029796,-0.0,-0.0,-0.24260874618779152,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.11942646424343824,-0.0951974643585464,0.11493922970502934,0.0,0.0,-0.0,0.0,-0.12683013949232547,0.0,-0.1310671388809736,-0.37940792207443386,-0.0,-0.07177746872375594,-0.0,0.0,0.0,-0.0,0.07203413095842717,0.0,0.0,0.0,0.0,-0.0,-0.09034460844662293,-0.0,-0.0,0.0
-0.0,-0.0,0.0,-0.0,2.172182180223331,-0.0,-0.0,-0.8312430785241804,-0.0,0.0,-0.0,-0.005022802662760536,0.0,0.0,-0.11791874494773708,0.0,0.08935084269577072,0.0,-0.0,0.0,0.0,-0.0017922327438800133,0.0,-0.0,-0.136536968606013,0.0,0.0,-0.0,0.0,-0.00450682364292713,0.0,0.012836502857282552,0.03678903514865872,0.0,-0.0,0.021992613774317694,0.0,0.0,0.2332374391462639,-0.0,-0.0,0.2185267675870466,0.0,-0.10013489021570902,-0.0,-0.0,0.04241763784856548,0.02419026146801277,0.0,0.0,0.14838533489461617,0.0,0.0,0.0,-0.6359467651076586,0.11652646011714907,-0.0,-0.0,0.0,0.0,0.11634553500897706,0.0,0.03473539217041784,0.06824772788191658,0.0,-0.0,0.0,-0.2962255237749374,-0.0,0.12095115283399142,-0.0,0.02157477918894775,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.20123678118625657,0.0,0.0,-0.0,-0.012296282524222183,0.05748560812005316,0.0,-0.06336025775791984,0.16111669475194204,-0.10525433024126948,-0.17569890772454513,0.0,0.0,-0.0
0.0,0.0,-0.8672585622337821,0.15905239719284311,-0.0,3.219943244745131,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.08504883457482773,-0.10128822183554828,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.17421007558262125,-0.06488386000683018,-0.0,-0.0,-0.041858353000355675,0.013518176633303782,-0.0,-0.0,-0.03325691612496577,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.017068576932627907,0.0,0.05708487748725506,-0.9182694272219956,0.3789131399624381,-0.0,0.0,0.1538120553806522,0.15786238170575848,-0.5791191707591352,-0.0,-0.0,-1.097082423314025,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.010584295719705827,-0.06543734760232911,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0505595147764842,0.006055247562227323,-0.06962112522558862,0.11257588464430048,-0.0,-0.0,0.0,0.0,-0.0
-0.016199432886681752,-0.19863933071327425,0.0,-0.0,-0.0,-0.0,2.798573499895346,-0.8078983323127381,-0.2064424156221602,-0.17492204877864678,0.0,-0.0,-0.0827584595922329,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.051514240924871085,-0.0,-0.2483032286595688,-0.0,-0.014325908411009766,-0.0,-0.247764423555648,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.04687917420881981,-0.0,-0.6048811532208538,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.011608506141218736,-0.0,-0.0,-0.121702236286802,-0.0,-0.0,-0.2129904428397635,-0.24861893071611757,0.0,-0.007592106832965651,-0.0,-0.0,0.0,0.0,0.0,0.013721144157176691,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.04820995078643119,-0.0,-0.0,0.0,-0.0,0.0,-0.13733023149321663,-0.0,-0.0,0.0,-0.020206033415449538,-0.1452893868487195,-0.0,-0.0,-0.043321501314621466,-0.10250552522505636,-0.0,-0.20326817812190545,-0.0,-0.0,0.0,-0.0,-0.0,-0.15840137819057815,-0.0,0.0,0.0,-0.0
0.0,-0.060900349825435615,0.0,-0.45843642608584656,-0.8312430785241804,0.0,-0.8078983323127381,3.2554400331105886,-0.0,-0.0,-0.0,-0.0,-0.0,0.056723565577615535,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0324996292336988,-0.0,-0.0,-0.2896406389132333,-0.0,0.0,-0.0,-0.09755246428143335,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1431070564625813,-0.0,-0.29032008636302464,0.0,0.11796461165824056,0.0,-0.0,-0.2612273135327236,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.003822570424099768,-0.4299858282230791,-0.0,0.12730742987788507,0.0,0.09312755103983952,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.2344944519484076,-0.0,0.05880957515072936,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.31940742944278894,-0.010274787363220144,-0.0,0.0,-0.0,0.0,-0.14239332215041475,-0.0,0.0,0.0,0.0,0.0,0.0,-0.2628375469864604,-0.0,0.0,0.0
0.0,-0.012778655964726547,-0.31870356875765327,-0.0,-0.0,-0.0,-0.2064424156221602,-0.0,2.9780852416213617,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.18693252477817,-0.10592634950050998,0.0,-0.0,0.003877439911736753,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.14173831070306073,-0.0,-0.0,-0.0,-0.0,0.0,-0.07528383819292998,-0.9341012179049772,-0.0,0.0,0.0,-0.09747746516707849,0.0,0.07550276506646089,0.0,0.0,0.0,-0.05763275323245284,-0.28840396019582054,0.023676292401719767,-0.3145963768703484,-0.0,0.0,-0.13570435576325623,-0.7424823442075498,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.006562610104905009,0.186962496203979,0.0,0.2100915219039876,0.0,-0.0,-0.0,-0.09630884186242153,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.1453692808289715,-0.0,0.05604391061064472,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01649318147699313,0.0,0.0
-0.0,-0.12338866573491009,-0.0,-0.0,0.0,0.0,-0.17492204877864678,-0.0,-0.0,2.0510560426259548,-0.28744253268921194,-0.1383467477468575,-0.0,0.11973502109722504,0.0,-0.0,-0.11560782929660252,-0.0577702568528615,0.0,0.0,0.0,0.0,0.0,-0.30344888496752503,-0.211300678638552,-0.0,-0.0,0.0,0.1854152555148912,0.008835459135898475,0.0,-0.06471015681202776,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.18452605417913617,-0.05947967693536637,-0.0,-0.23675133703176413,-0.30087340628534504,-0.0,0.0,-0.08983648141553875,-0.12421281953846763,-0.0,-0.0,-0.0,-0.0,-0.014204107966604445,0.0,-0.31638193952593807,-0.0,0.0,-0.058074946480778405,-0.0,0.11124241884750892,0.0,-0.03628781523195669,-0.0,0.0,-0.0,-0.030806588800227144,0.0,-0.0,-0.0,-0.0,-0.08690125241204169,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.13745803442225593,-0.10354806807662138,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.032790256792326285,0.27234386810476374,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
-0.053490429904677936,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.28744253268921194,2.2896004530146987,-0.32439645659543687,0.0,0.20819452947503936,0.0,-0.0,-0.01399968841782731,-0.1885959026229987,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.5141771983445115,-0.0,-0.0,0.0,0.0,0.4229377459426279,0.053276325923482505,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.1368938209769216,-0.17301275721976336,0.0,-0.0,0.0,-0.0,0.0,-0.029202805924925936,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.045149062251330925,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.025045424306972833,0.0,-0.17109361731489553,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.21575932980105392,0.06281755332780031,-0.0,-0.0,-0.0,-0.0,0.2751923089229718,0.0,-0.0,-0.0,0.0,0.13289775530237857,0.0,-0.13996512834245903,-0.03878047965119548,-0.0,-0.09398216608977487,0.0,0.10309903555721808,-0.0,-0.013649695230369416,-0.0,0.0,-0.0
