2.233882938237128801e+00,-0.000000000000000000e+00,-1.920001637385938265e-01,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,8.499321531216940881e-03,0.000000000000000000e+00.3,-3.725091856250948852e-01,-3.759403713949142634e-01,-0.000000000000000000e+00.2,0.000000000000000000e+00.4,-0.000000000000000000e+00.3,0.000000000000000000e+00.5,-4.980675654757077409e-01,-1.535104815615333414e-02,0.000000000000000000e+00.6,-0.000000000000000000e+00.4,0.000000000000000000e+00.7,-0.000000000000000000e+00.5,0.000000000000000000e+00.8,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-7.040441294250840421e-03,8.586839946707265636e-02,4.900215543284796443e-02,7.166724306942814926e-02,0.000000000000000000e+00.9,-0.000000000000000000e+00.9,0.000000000000000000e+00.10,3.783288025020340936e-03,0.000000000000000000e+00.11,1.135400982796476582e-01,0.000000000000000000e+00.12,1.886266897579861601e-01,0.000000000000000000e+00.13,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,1.443752493093357347e-01,-0.000000000000000000e+00.13,-1.443483106234626778e-01,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,6.438015426458214285e-02,1.066284872188229121e-01,-0.000000000000000000e+00.16,0.000000000000000000e+00.21,0.000000000000000000e+00.22,9.862735172034851894e-02,2.224824090955034028e-01,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.17,-1.150190109934921823e-01,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,0.000000000000000000e+00.25,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.21,0.000000000000000000e+00.28,-1.492865581270245469e-02,0.000000000000000000e+00.29,0.000000000000000000e+00.30,7.406996032246071504e-02,0.000000000000000000e+00.31,-0.000000000000000000e+00.22,-2.065895910854048667e-01,-0.000000000000000000e+00.23,0.000000000000000000e+00.32,0.000000000000000000e+00.33,1.039010527440468873e-01,0.000000000000000000e+00.34,1.314259308478397253e-02,-5.237996537204567954e-02,-6.895678095429959298e-02,0.000000000000000000e+00.35,0.000000000000000000e+00.36,-0.000000000000000000e+00.24,0.000000000000000000e+00.37,0.000000000000000000e+00.38,0.000000000000000000e+00.39,0.000000000000000000e+00.40,0.000000000000000000e+00.41,-0.000000000000000000e+00.25,1.306306888591135529e-01,-7.973565808513803643e-02,-0.000000000000000000e+00.26,0.000000000000000000e+00.42
-0.0,4.2915182531012634,-1.806993373212496,-0.6663700056082283,-0.35977984119531753,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.13966083520207162,0.0,0.03005371778667097,0.0,-0.5322792154196424,0.0,0.0,0.10730271781853008,0.0,0.0,0.0,0.0,-0.13320481773196174,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3378038605727597,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.04782128694730784,-0.06474610194273381,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.09274971719117037,-0.3478595545326157,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.09556907192962288,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.15978079827559627,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
-0.19200016373859383,-1.806993373212496,5.007515713940787,-0.0,-0.08064390466237108,-0.507313797189333,-0.36504466945787606,-0.0,-0.0,-0.48981468853936294,-0.555990997292539,-0.414217509200602,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.09441993515569516,0.3024510174994634,-0.013779094148201672,-0.0,-0.0,0.0,0.013833761544710492,0.0,0.0,0.0,0.12635808752471217,0.00029668471248911645,0.0,0.0,0.0,0.0,0.0,0.5379420833235459,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.27399199486283166,0.053271996482440395,-0.0,0.0,-0.21699110100887575,-0.04804757240418595,-0.0,0.0,-0.0,-0.0,0.028245901845092906,0.0,0.0,0.0,0.0,0.0,-0.0,-0.23261240509310588,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.0,-0.6663700056082283,-0.0,3.910168614829885,-1.0372446955891543,-0.048312811041832805,-0.17413026163985723,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3309595926090519,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.33976722948991606,-0.00023161905702336893,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.04142216682054471,-0.5068096633672841,-0.12387873581741116,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03045789518738025,-0.24953903501198932,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.08901419867631305,0.0,0.0,-0.2339225354270406,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.30980317711777183,0.0,0.0,-0.3410930010865678,0.0,-0.23814590705980287,0.0,0.0,0.03967336029725066,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.25812766874131127,0.0,-0.13974372623488995,-0.0,0.20855796525757372,0.0,-0.0,0.0,0.0
0.0,-0.35977984119531753,-0.08064390466237108,-1.0372446955891543,3.7120039648420304,-0.6912855131152055,-0.055695778688111264,-0.3158719035537635,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.16818982436065988,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.024659060801208048,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.04767354905240834,-0.0,-0.0,-0.0,0.0,0.0,0.11086265611930794,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.26007685682202114,-0.014820643348777649,-0.8364192673255598,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.010856808292018197,-0.03645041297334124,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0051863221680577614,0.0,0.0,0.0,-0.10893070437331807,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.265144931319268,-0.0,0.09591599896937031,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.507313797189333,-0.048312811041832805,-0.6912855131152055,4.011218652203496,-0.43922407395974966,-0.28153521469945014,-0.11954212520934168,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.157686801169215,-0.13575308428465263,-0.0,0.0,0.1084355273918377,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.04793564686374117,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3376759284670962,-0.0,0.0,-0.0,-0.12982045823584135,-0.0,-1.1442258235410483,-0.0,-0.09018545164978013,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.06402719106173203,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.16292434442508724,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23142433676500015,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.36504466945787606,-0.17413026163985723,-0.055695778688111264,-0.43922407395974966,4.236215542637818,-0.9700970775557071,-0.0,-0.6884880198265182,-0.11142109043704944,-0.09366035275471989,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.019110602711916887,-0.1036752385232878,-0.0,0.0,0.2172151077643024,0.0,0.0,0.23901587751223188,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.8632437757725374,-0.14158990917691566,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.09262262090253824,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0822558119103854,-0.0,0.0,0.022861973273664623,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.15894504087630895,0.0,0.0,0.0,-0.0,0.060997954129022314,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008499321531216941,-0.0,-0.0,-0.0,-0.3158719035537635,-0.28153521469945014,-0.9700970775557071,3.9428487182835026,-0.5672607232355886,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.043581076755099854,-0.28085022647764296,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.11108560835721656,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.33405087345225387,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.08374248281100302,-0.0,0.0,-0.0,-0.05173586147722936,-0.9703480081647251,-0.40308924913634814,0.0,-0.1586710224117604,-0.04213357883313523,-0.0394754374734435,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.08590963207413171,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.17047333819747731,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.09568992839831443,-0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0,-0.0,-0.11954212520934168,-0.0,-0.5672607232355886,3.506868998407025,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.2696430120730941,-0.0,-0.0,-0.0,0.0,0.0,-0.05224408747243715,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.10375204397760476,0.025865929974343,-0.0,-0.0,-1.08586284930107,-0.0,0.0,0.0024434447715604296,0.0,-0.0,0.10826490390628812,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9567752791039664,-0.15348238900127703,-0.0,-0.5925034740206929,-0.0,-0.0,-0.0,-0.0,-0.029689508107294888,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
-0.3725091856250949,-0.0,-0.48981468853936294,-0.0,-0.0,-0.0,-0.6884880198265182,0.0,0.0,4.473617873125049,-0.0,-0.3002633249292948,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.7246000692186813,-0.4554695443317029,0.0,0.0,0.0,0.0,0.0,-0.0,0.16231153190831726,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.7845288556151003,-0.0,-0.05067040708171434,-0.08059038294136718,0.0,0.0,0.20412510869720615,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.27641224253957297,0.0,0.11247615056671104,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.11658655062890952,0.0,0.0,0.0,0.0,0.0,0.0,-0.500371727287074,0.0,-0.0,0.15078503215407235,0.0,0.0,-0.0,0.0,0.08117543256938475,0.0,0.0,0.0,-0.0,0.07635163367386044,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
-0.3759403713949143,-0.0,-0.555990997292539,-0.0,-0.0,-0.0,-0.11142109043704944,-0.0,-0.0,-0.0,2.9561610063431782,-0.8566432654276187,-0.28156272369940094,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.12868365297384826,-0.0,-0.49198474261509534,0.0,0.0,0.0,0.08501952718825127,0.0,0.05114641424968181,0.19263049233481028,0.0,0.0,0.0,0.020704181291557,0.02675769948091911,0.015346531266572276,-0.0,-0.0,0.22361407145200524,-0.0,-0.0605627793007472,0.0,0.0,0.1857192691223712,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.2050844583188512,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
