1.718777568458729199e+00,-0.000000000000000000e+00,-3.114023195648262243e-01,-4.408966975442257796e-02,-0.000000000000000000e+00.1,-3.138252604110679245e-03,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3,-0.000000000000000000e+00.6,-8.148337666012585301e-02,0.000000000000000000e+00.4,-3.274855812708158537e-02,0.000000000000000000e+00.5,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,0.000000000000000000e+00.6,-0.000000000000000000e+00.9,0.000000000000000000e+00.7,-1.205997842329801506e-01,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,0.000000000000000000e+00.8,-0.000000000000000000e+00.12,0.000000000000000000e+00.9,-7.420357433824274762e-02,-4.329271081024276269e-01,-2.145360502285661441e-01,-0.000000000000000000e+00.13,0.000000000000000000e+00.10,-4.383490216359675617e-02,0.000000000000000000e+00.11,-2.454701353686782328e-01,0.000000000000000000e+00.12,-0.000000000000000000e+00.14,0.000000000000000000e+00.13,0.000000000000000000e+00.14,0.000000000000000000e+00.15,-0.000000000000000000e+00.15,1.455848114982015440e-01,0.000000000000000000e+00.16,1.033699151447239027e-02,-0.000000000000000000e+00.16,-8.728201073031503776e-02,0.000000000000000000e+00.17,-1.957543142411673764e-01,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,0.000000000000000000e+00.18,-0.000000000000000000e+00.21,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,1.748536228818270422e-02,0.000000000000000000e+00.21,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-1.280582117039880674e-01,0.000000000000000000e+00.24,-0.000000000000000000e+00.29,0.000000000000000000e+00.25,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-4.132966456129870056e-03,-0.000000000000000000e+00.34,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,5.528499193221309005e-02,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,1.159771393330681633e-02,-0.000000000000000000e+00.35,1.353319587647681121e-01,0.000000000000000000e+00.32,0.000000000000000000e+00.33,3.099192863914115303e-01,-3.110020738008257082e-02,0.000000000000000000e+00.34,0.000000000000000000e+00.35,0.000000000000000000e+00.36,-0.000000000000000000e+00.36,0.000000000000000000e+00.37,5.586854652861351911e-02
-0.0,3.2252888417663805,-0.051471221886618256,-0.428430349453103,-0.0,-0.0,-0.2247690040489984,-0.0,0.0,-0.0,0.0,0.09241797074006575,0.0,0.0,-0.0,-0.3437860269465614,0.0,-0.16548778692440233,-0.0,-0.2524291753812213,0.0,0.0,-0.0,-0.0,0.0,0.05927652214908054,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.25332007705460724,0.0,-0.013571624768782988,-0.0,-0.0,0.0,-0.0,0.006595781222544371,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.2180173188588743,-0.1314496769817036,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.01918894865251544,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.06912746863295814,-0.007829042589789413,-0.0,-0.0,-0.001560560551402265,-0.0,0.0,-0.0,-0.0,-0.016930979097608472,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.04052794942234662,-0.022718574068739783,-0.0,0.0,-0.0,-0.0,-0.12147948866278747,-0.0,-0.0
-0.3114023195648262,-0.051471221886618256,2.086982602468716,0.0,-0.0,-0.8168907930079261,-0.0,-0.1581774682956638,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.07645935526134184,0.23322574583913872,-0.0,0.0,0.0,-0.05521131113525462,-0.02190973434708227,0.0899719857990827,-0.0,-0.07890565702266553,-0.010784932206659542,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0551882114514426,-0.25539463242186045,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.15360517644851523,0.0,-0.0,-0.0,-0.0,0.06881267745998017,0.05229078378314573,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01109661674185228,-0.08537591500129878,0.0,0.0,0.0,-0.0,0.0,-0.03165550086541081,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.12625250638490204,-0.0,0.05493146328723551
-0.04408966975442258,-0.428430349453103,0.0,2.605716555964043,-0.4764310311031667,-0.0,-0.0,-0.6552734919702239,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.03466476645602954,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0054332162959659005,0.0,0.0,0.0,-0.0,-0.0,-0.05984636975048079,-0.8519769895657313,-0.0,-0.0,-0.0,-0.0,-0.0,0.03749098113791549,0.0,-0.0289752217995826,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.051728628052743635,0.0,-0.0,-0.06080656385285668,-0.0,0.029275251128170837,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.038136159192532285,-0.0,0.0,0.0,0.0,-0.0,-0.024878924883716912,0.0,0.0
-0.0,-0.0,-0.0,-0.4764310311031667,2.5066964711013657,-0.4684611388845129,0.0,0.0,-0.0,-0.0,0.0,0.16089860212460927,-0.0,0.0,-0.0,-0.0,-0.09720794937614675,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.008877190642140586,-0.0,0.0,0.0,-0.0,-0.13663634969527305,-0.0,-0.1026072814463204,-0.0,0.0,-0.0,-0.0,-0.0,-0.020865192234279625,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.00483394884016218,-0.0,-0.0,0.0,-0.49802347853677,-0.0,-0.03092168017002124,0.0,-0.512942341546663,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.12696983232003425,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.08259079074857155,-0.0,-0.0,-0.0,-0.025027906514124013,-0.0,-0.17261013996797875,0.0,-0.01738950947574427,0.0,-0.0,-0.0,-0.0,-0.17803362804571868,-0.0,-0.0
-0.0031382526041106792,-0.0,-0.8168907930079261,-0.0,-0.4684611388845129,3.68407955600442,0.0,-0.0,-0.20912059647795697,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1117039192634872,-0.0,-0.0,-0.0,0.016576482062324423,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.06919780889608329,-0.06795990236003152,0.0,-0.20958704357785873,-0.10242321938067668,-0.0,-0.16565822866875826,-0.030713774214816678,0.0,-0.0,-1.47382860174121,-0.3547793953587696,-0.0,-0.0,0.04585543407094538,-0.0,0.0,0.0,0.0,0.00788192940141607,0.0,-0.0,-0.0,0.0,0.0516174211843019,0.048126070751072635,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.022289209525599703,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0745276361846351,0.0,-0.0,-0.0,0.0
-0.0,-0.2247690040489984,-0.0,-0.0,0.0,0.0,3.6061188729432976,-0.7589174758011817,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.3718125232006007,0.13664608886382254,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.03952568791178316,0.0,0.0,-0.19070944499201703,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09525742757846364,0.01738736754250062,-0.6311872029773088,-0.0,-0.0,0.0,-0.03510921012990114,0.0,0.0,0.0,0.0,-0.13143810424321503,-0.0,-0.0,-0.1189854872315104,-0.3690302717984837,0.013759242152683171,0.0,0.0,-0.0,0.0,0.0,0.0,0.2176061312896096,0.0,0.024012622287049167,0.0,-0.0,-0.0,-0.5344879995932245,-0.0,0.0,-0.0,-0.4692414691439061,-0.0,-0.0,-0.29084085717581043,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.052327344613371456,0.0,0.029799525845743205,0.1414976301328962,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.1581774682956638,-0.6552734919702239,0.0,-0.0,-0.7589174758011817,3.06148311880307,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.44577397397876617,0.0,-0.05144022621855143,0.0,0.0,-0.0,0.09207639364607549,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.12653745841756853,-0.0,-0.0,-0.12137439622602014,-0.0,-0.9464022354761948,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.08268422359934992,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.10775202874001456,0.14138326874133147,0.0,0.0,0.0,0.20303983291576208,0.0,0.1687359593232778,0.0,0.0,0.0,0.0,-0.0,-0.0,0.1422082476478136
0.0,0.0,-0.0,-0.0,-0.0,-0.20912059647795697,0.0,-0.0,3.4423299704433807,0.02446847509666734,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.11488399496509064,0.0,-0.0,0.1674155204053556,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.5347390176979975,0.0,0.0,0.0,0.07282185272997577,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0574434540366529,-0.305978808024748,-0.506092262506494,0.0,-1.45938076500356,0.0,-0.0,-0.0,-0.108317860819144,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.07972721242749478,-0.0,0.0,-0.3041243854203604,0.0,-0.06930831318453928,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.23615538816550408,0.049459127384003904,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.02446847509666734,1.82749859230823,-0.04114541815207783,-0.23914744573224775,-0.0,0.0,-0.06769958623075156,-0.0,-0.1920213784914717,0.0,-0.0,0.039223086875236894,-0.0,-0.0,0.0,-0.3416689171481217,-0.3406149525804798,0.05809097428434471,0.0,-0.0,0.0,-0.0,-0.16355930889945808,-0.0,-0.053929913957163386,-0.07984494750315724,-0.0,0.0,-0.0,-0.04152388182226122,-0.0,-0.07880281045437212,-0.0,0.0,0.0,0.0,0.0,0.0,0.3081946950930152,0.0,0.0,0.0,0.0,0.0,0.10339597441625845,0.11214767810879628,0.0,0.0,0.0,0.0,-0.03502122070664324,0.07866178031208067,0.06318777315019984,-0.0,-0.12340964752012223,0.0,-0.0,-0.14620062686458948,-0.0,-0.0,-0.0,-0.0,0.0,-0.033026159199394535,-0.0,-0.0,0.12143562210263822,-0.0,-0.18844179237229736,-0.0,-0.08084681698263166,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.07108438229429387,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.31272535536013785,0.0,-0.0,-0.061759941906710955,-0.0,-0.1654795778843983
-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.04114541815207783,1.5638563092269957,-0.4947123185346895,0.0,0.0,-0.0750832576874951,0.0,0.0,0.17172926668367347,0.09863379802051764,0.0,-0.0,0.2047512957593824,0.0,-0.0,-0.06193132689710041,-0.0,0.0,-0.0,0.0,-0.1395113590291795,-0.0695142594987844,0.0,-0.0,0.0,0.14964845065680768,-0.0,-0.0,-0.0,0.0,0.0,0.0757810070473632,-0.0,0.0,-0.0,0.0,0.0,0.01932285868643548,-0.0,-0.05402628979118604,-0.0,-0.020959026150614415,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.367096173719428,0.0,-0.0771256559554074,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0647572834563026,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030579463264457016,0.026878932794409945,0.09874574668395987,-0.10080656201348796,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.17335228834464628,0.0,0.0,0.0,-0.0,-0.0
