2.239450097824960295e+00,-2.881961708950515622e-01,-6.040988722018923729e-02,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-6.711217756757420494e-02,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.3,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-6.820186459145703983e-01,0.000000000000000000e+00.4,2.252005264198599088e-02,-0.000000000000000000e+00.7,6.865474640809393625e-02,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-3.161471381687123994e-02,-0.000000000000000000e+00.8,1.846826206655392821e-02,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.9,-8.998938087947346010e-02,-2.720156220203731601e-01,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-1.834075246280918170e-01,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-2.670099855148964571e-02,-1.575472180343426634e-02,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-4.847266756332548748e-02,-0.000000000000000000e+00.15,-3.667415530208962271e-01,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,8.307297833412229104e-02,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,2.047791058026274535e-01,2.292071664883828241e-02,-1.554071053542931125e-01,-0.000000000000000000e+00.20,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.22,-0.000000000000000000e+00.24,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-0.000000000000000000e+00.26,1.540881651199585700e-01,2.628477947173979423e-01,1.133294109485017270e-01,0.000000000000000000e+00.27,-3.478609095438648519e-02,-0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-0.000000000000000000e+00.28,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.29,0.000000000000000000e+00.32,-4.237838056812283372e-02,1.698927212132888762e-02,0.000000000000000000e+00.33,-2.151682032530853259e-02,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-6.004080799490565945e-03,-0.000000000000000000e+00.35
-0.2881961708950516,2.8820519827389393,-0.14767717142532255,-0.49246147059183143,-0.15502732515824616,-0.0,-0.0,-0.0,0.2032496007200616,-0.0,-0.0,-0.0,-0.0020016504294049944,-0.0,-0.0,-0.8709835450751926,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.08806287003726566,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0374139822462894,-0.0,-0.0,-0.03156940372740224,0.0,-0.0,-0.0,0.0,0.1354705266642942,-0.0,0.0,-0.0,0.0,-0.0,-0.6345047612479988,-0.06561030461948206,-0.0,-0.0,0.0,-0.0,0.0,-0.1363202155769306,-0.06427655288664767,0.0,-0.0,0.0,-0.0,-0.195051179036763,-0.11455054085855332,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.007929458718919053,0.07823823715972798,0.13670079601583307,0.010202969524165663,0.0,0.0,0.019045078766123144,-0.022796326864245976,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.05809170999600744
-0.06040988722018924,-0.14767717142532255,2.77339887907518,-0.0,-0.039529677933264645,-0.6549264256826672,-0.0,-0.20157434292254509,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.07383192583798522,0.0,-0.0,-0.0,-0.12981229942736344,-0.0,-0.06427178258122111,0.18293874141552804,0.0,-0.06633163049376738,-0.0,-0.0,-0.0,-0.026400283639243106,-0.0,0.0,0.0,0.0,-0.10507037384268723,-0.3609814622341014,-0.0,-0.0,-0.0,-0.0,0.021565223459357193,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.05692727462776462,-0.47710910830487174,-0.0,-0.0,-0.2986269516632612,-0.13606072283954454,-0.200943633618968,-0.0,-0.0,0.0,0.0,0.062170219774537946,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.15743589899782037,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.022018175008821098,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.20012696749806655,0.0,-0.0,-0.0,0.0,0.05229172703076268,0.0,-0.013206342195721477,0.0
0.0,-0.49246147059183143,-0.0,3.0541995436927807,-0.5685271464154544,0.20473238096936816,0.0,-0.0,0.1100063633785922,-0.12360007182185344,0.0,-0.0,-0.03283772964335124,-0.1447660198871068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.08209458719726188,0.0,-0.0,0.0,0.0,0.0,-0.1924087696544947,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.038783185469391294,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.00904183021821029,0.0,-0.0,-0.0,-0.3027074664732851,-1.5128164400445512,-0.0,0.08409468015929376,-0.0,-0.0,-0.02659660648871014,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.12940702197368292,-0.0,-0.0,-0.0,-0.0856851843241402,0.0,0.0,-0.0,-0.0,-0.01159606175956294,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
-0.0,-0.15502732515824616,-0.039529677933264645,-0.5685271464154544,3.1134498504647348,-0.0,0.0,-0.3294674184182603,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.008958349570099982,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1983722018857652,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.20541376709465384,-0.0,-0.8651306902432518,-1.0447963117458143,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.09691040926762749,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.00691810658826668,-0.0,0.0,-0.0,0.0,0.017998392334666123,0.0,0.0,-0.0,-0.011397529708888887,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.6549264256826672,0.20473238096936816,-0.0,3.293613336322521,-0.0,-0.0,-0.07907201977083028,0.0,-0.017402531711614006,-0.031031056640094395,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.060720247126968406,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.04140705656219838,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.20158899135039665,-0.3029340647642418,-0.0,-0.0,-0.0,0.0,0.0,-1.2075947684801112,-1.0958193242747083,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.16104405871392716,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05314184722602146,-0.0,-0.0,0.0,0.0,0.005590099992254316,-0.012684229396365487,-0.0
-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.9970035910347408,-0.21701540822536688,-0.0,0.0,-0.0,0.05640545972867893,0.12271983353835413,0.0,-0.0,-0.2928422184337716,0.04289282858416777,-0.0,-0.1833272794473056,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.012162480419912256,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.11745697964715245,0.0,-0.0,0.0,0.0,-0.5465602947631512,-0.15040986103142784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08846714061384028,-0.3217610975325518,-0.034719134976094,-0.0,-0.0,-0.1560760087241074,0.0,-0.0,-0.118740910504461,0.0,0.0,-0.0,0.0,0.0,0.0867461102322567,0.0,-0.0,-0.0,-0.0,-0.008818893693908626,0.0,-0.0820451338291528,0.0,-0.13544618469986122,0.0,-0.0,-0.0,0.0,0.03767086802155026,0.0,-0.0,0.06662318780074074,-0.0,0.138293750823312,0.0,-0.0,-0.27468600521754766,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.17180822533253606,-0.0,-0.0,0.0,-0.006303448241512569,-0.0,-0.0
0.0,-0.0,-0.20157434292254509,-0.0,-0.3294674184182603,-0.0,-0.21701540822536688,3.343041747367476,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.1424753759478332,-0.8688913906190124,0.0,-0.0,0.0,-0.2855315643275496,-0.0,-0.0,0.0,-0.0,-0.0,0.005488580559954895,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.3764992381494434,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.07165565008501265,-0.0,-0.04780372327522657,-0.09828072287263123,-0.2863061134995888,-1.0230440873537572,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.5199308473059674,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.13117146144336564,-0.0,0.0,-0.0,0.0,0.0,0.012424507881197679,-0.0,0.0,0.0,0.0,0.0,-0.0,0.2496268804423732,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
0.0,0.2032496007200616,0.0,0.1100063633785922,0.0,-0.07907201977083028,-0.0,-0.0,2.975882020180528,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.057926644224062795,-0.008114496630736127,-0.0,0.0,-0.0473272441530604,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.398277678757688,0.0,0.0,-0.03881747267363797,-0.11654126461324509,-0.0,-0.05842932032242579,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.18300000376779624,0.008929369109314429,0.05563636040496993,0.0,-0.8821360619615337,0.0,-1.5307384151182994,0.06522150150808624,0.0,0.0,-0.0,-0.0,0.0,0.0,0.010948109695374084,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.011929073594399903,-0.07033526763559733,0.09159100990616408,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.08356646043335,0.0
-0.0671121775675742,-0.0,0.0,-0.12360007182185344,-0.0,0.0,0.0,-0.0,-0.0,2.0972352132964955,-0.591371727872239,-0.23344474540645468,-0.0,-0.07474157314634823,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.09950473245923025,-0.03200693517454651,-0.0,-0.16920903043390387,-0.24220694296886564,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.04371508170270894,-0.0,-0.34648310291491874,-0.07250700228067619,0.0,-0.0,-0.0,-0.16108513475723668,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.1032323918648689,0.0,0.0,-0.0,-0.030979595432563702,-0.0,0.0,-0.0,0.08346159320539169,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01011809471226439,0.0,-0.0,-0.0,-0.12137197134981773,-0.0,-0.0,0.0,-0.0,-0.0,-0.0941257280954844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.2100815462403196,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,-0.0,0.0,-0.0,-0.017402531711614006,-0.0,-0.0,-0.0,-0.591371727872239,2.409107850891904,-0.5481595887578072,-0.16315566149944144,-0.0,-0.22244877748267855,-0.0,-0.0,0.0,0.0,0.18064540649741373,-0.0,-0.0,-0.0,-0.2442257079708471,-0.0,-0.04524382334009849,0.0,0.0,-0.0,0.0,0.0,0.0,0.04112685468424505,0.08069949581067909,-0.0,0.0771093303572454,0.06928592962671071,0.0,-0.0,-0.38156802029634274,-0.010000544289229167,0.0,0.0,-0.0,0.10894775010603495,0.1882981701696251,-0.0,0.016938022804237826,-0.10579499470537876,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.062366351404895326,0.0,-0.2522214046312,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0886779541819878,-0.0,0.0,0.0,0.0,-0.15085508295706207,0.0,0.0,0.0650220679265805,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.2520722986147124,-0.0,0.0
