1.701357753195509304e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,0.000000000000000000e+00.3,-0.000000000000000000e+00.2,0.000000000000000000e+00.4,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-8.816237711464601501e-02,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.5,-2.308526466534771282e-01,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,1.542620005774663350e-01,-6.258202484560410062e-02,-1.372319381977227248e-02,-0.000000000000000000e+00.11,-8.309530178725083038e-02,-0.000000000000000000e+00.12,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-0.000000000000000000e+00.13,0.000000000000000000e+00.8,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-2.823676630407213617e-01,0.000000000000000000e+00.9,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,0.000000000000000000e+00.10,-0.000000000000000000e+00.18,1.781305589876430728e-01,9.230793782089746768e-02,0.000000000000000000e+00.11,0.000000000000000000e+00.12,1.720736523965319103e-03,-0.000000000000000000e+00.19,-9.586624520106748482e-02,-0.000000000000000000e+00.20,0.000000000000000000e+00.13,-0.000000000000000000e+00.21,-2.879671314210012767e-01,-0.000000000000000000e+00.22,-5.318845456453397125e-01,0.000000000000000000e+00.14,0.000000000000000000e+00.15,1.558962010183236324e-01,0.000000000000000000e+00.16,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.25,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,0.000000000000000000e+00.21,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,0.000000000000000000e+00.24,4.772487754223279921e-02,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-9.550903696585846814e-02,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-0.000000000000000000e+00.35,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-0.000000000000000000e+00.36,-1.267125620863102271e-02,-4.287320012146932091e-02,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.37,7.665304001427809821e-02,0.000000000000000000e+00.32,-4.701393200257609345e-02,0.000000000000000000e+00.33,0.000000000000000000e+00.34,1.175536318726264490e-01,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40,-2.099486754759201726e-02,0.000000000000000000e+00.35
0.0,1.942249113517739,-0.2013674826526846,-0.19300002011104073,-0.297731964661924,0.0,0.0,-0.15033230983519852,-0.0,-0.010958826976081497,-0.0,-0.19177583905239387,0.0,0.0,0.0,-0.21393056748837783,0.06960427059983726,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.04024081688968332,0.0,-0.0,0.0,0.0,-0.0,0.006064952450415264,0.03633415846819081,0.0,-0.02530525159734542,0.0,0.039179931955438355,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.02525101261199429,-0.13889940147835722,-0.4849547184581149,-0.0,-0.0,0.0,0.0,-0.0015015878591739316,-0.01440683058741296,-0.1454758254776213,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.09246096490643353,0.0,0.0,-0.03960162692374933,0.0,0.0,-0.0,-0.0,-0.07691655857006356,0.0,-0.0,0.0,-0.0,-0.0,-0.14191809729600804,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.08292232541685955,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
-0.0,-0.2013674826526846,1.995073440939478,-0.0,-0.08903843221376326,-0.09286052236877496,-0.0,-0.21665681136319473,-0.0,-0.0,-0.20875250549134808,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.1206483262057602,0.0,-0.0,0.035568896276497224,0.0,-0.0,-0.0,-0.0,-0.2702977421861519,0.03411485974024585,0.10318437400483745,0.0,0.10038098817111156,-0.0,-0.0,0.00845803503569129,0.0,-0.0,0.0,0.0,-0.0,-0.0337431958327217,0.0,-0.0,-0.0,0.0,-0.0,-0.41518658690749166,0.0,0.0,-0.0795909004272873,-0.4737468814183105,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.06286088777669936,0.0,-0.0,0.06098980120379075,-0.0,0.0,-0.0,-0.0,0.16356746414007414,-0.0,-0.0,-0.0,-0.0,-0.05617839561372798,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.03909655183096659,0.043362344884095905,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
0.0,-0.19300002011104073,-0.0,3.450761995395589,-0.1183794789704133,0.0,-0.0,-0.518957192386902,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.3753395615101214,0.0,-0.0,0.010169225372299195,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.19738456573951407,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.05197177884954499,0.0,-0.0,-0.005644282282971306,-0.002260106305928152,-1.0358791933946927,-0.0,0.0,-1.0207099972812097,-0.441186014096708,0.0,0.0,0.0,-0.0,-0.05920296758247424,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0744486028556492,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00810466465463762,-0.0,-0.0,-0.0,0.0,0.021760106049528837,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.07817428876644958,-0.0,-0.03802494384614544,-0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.297731964661924,-0.08903843221376326,-0.1183794789704133,1.90774030091214,-0.19753650711398688,0.08568500604824193,-0.012560460981268352,0.0,-0.14785495231008003,-0.0,-0.0,0.03668253761991696,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.17073932089007088,0.0,0.0,-0.14808828096963558,-0.0,-0.0,0.0,-0.0,0.14291863195699392,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.03364252952138213,0.0,-0.0,-0.0,-0.0,-0.05556374280119429,0.0,0.0,0.039680242280852325,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.2052383217900746,-0.7428682542240093,0.0,-0.0,-0.0,-0.0,0.039446602010373616,0.0,0.0,-0.0,0.0,-0.011114334313618955,0.0,0.03474587476576027,0.0,0.0,0.0,0.24677497797380732,-0.0,-0.0,0.05425849961382496,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.04226584016424032,0.0,-0.0,-0.1138082179016772,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.11796388528304926,-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,-0.09286052236877496,0.0,-0.19753650711398688,2.549175622394156,-0.0,-0.0,-0.24268454148705548,0.0,-0.12562846601609115,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.1581922402596574,-0.0,-0.0,-0.04093421945485203,0.0,-0.0,-0.0756779197892213,-0.0,0.0,-0.057229438459936936,-0.0,-0.0,-0.0,-0.485640321355267,-0.0,0.0,0.0,0.04057098061114816,0.0,-0.7067117769320932,-0.5578420588445105,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.21350491999648216,-0.08792665094671843,-0.0,-0.06619565346425689,-0.0,-0.022933810974383084,-0.0,0.0,0.0,0.0,0.013862320721021988,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.013689718493606595,0.05915828922084965,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.07650829494185929,-0.038135015069799855,-0.0
0.0,0.0,-0.0,-0.0,0.08568500604824193,-0.0,2.039430139206388,-0.0,-0.26443288842394125,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.29892283445352247,0.048244899741124725,-0.0,-0.0,-0.0,-0.04465355488088632,0.1433195293350068,0.0,0.0,0.1922568951968562,0.002274097466732735,-0.0,0.0,-0.1653053650361459,0.03637010777860049,0.0,-0.0,-0.0,0.02188008822568205,-0.13964961430116035,0.0,-0.0,-0.31018500596577137,-0.2563858265594399,-0.12838215366906972,-0.0007656265223430984,0.0,-0.0,-0.0,-0.12119627738953564,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.08273991963488729,-0.13225799774425687,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.6375679353095292,-0.0,-0.0,-0.0,-0.0,0.09570326454680221,-0.0,-0.0764131775347917,-0.0,0.1472310840626399,-0.06992303974073774,0.0,-0.09290454527412402,-0.0,0.039397938426571896,0.0,-0.0,0.0,0.05229615571809424,0.298845562063508,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.16203326277871982,0.0,-0.0,0.0
-0.0,-0.15033230983519852,-0.21665681136319473,-0.518957192386902,-0.012560460981268352,-0.0,-0.0,3.2272356894074927,-0.0625813148882468,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.5300256031989374,-0.0,0.0,0.0,-0.2230765153112144,0.0,-0.0,0.0,-0.0,-0.0020982135999913164,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.1997065732072356,0.07536278122919118,0.24122828662284176,-0.03833323655829516,-0.0,-0.0,-0.0,-0.0,-1.4424806776499355,-0.09076946584464261,-0.051318814882149545,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.005535434876192226,0.0,-0.0,-0.0,-0.02181655442897071,-0.07942211064773809,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.04246086896481491,0.0,0.1602224098876306,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03611621985779002,0.03670244697673178,0.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.24268454148705548,-0.26443288842394125,-0.0625813148882468,2.551909949765234,0.0,-0.0,-0.0,-0.08612698685905852,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.006136937622801628,-0.054012849789783275,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.3472275666096748,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.054817637832766726,-0.0,0.1392376802206266,0.16324878831750492,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.31682252509565567,-0.2592728794501048,-0.0,-0.909309038932787,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12159993503470684,-0.0,-0.13132315454565244,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011502546237323039,0.0,-0.10891527387996976,0.0,0.03554651496037221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.103876551621971,-0.1289971417102475,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,-0.010958826976081497,-0.0,0.0,-0.14785495231008003,0.0,0.0,0.0,0.0,2.716879014449152,-0.0,-0.46637733960758937,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.11940921687245427,0.0,-0.0,0.0,0.0,-0.04291241390578021,-0.3503791851629009,-0.0,0.0,-0.13570496415496533,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.13457069146022183,-0.17833890236502487,0.0558115788040616,0.0,0.003156282359787453,-0.0,0.05537282095319064,0.0,0.10712956376620773,0.0,0.0,0.0,0.0,0.0,0.0,0.02205314412864597,-0.0,0.0,0.0,0.09146739342744728,-0.0,0.0,0.0,0.0,-1.3546795731446308,-0.0,-0.0,0.0032101356067537855,0.0,0.0,-0.0,0.02475533932296633,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.06712937967779677,-0.0,-0.16475798789514867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04517458233244321,-0.0,-0.079388223296804,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22258681556802287,-0.2147959221858568,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.20875250549134808,0.0,-0.0,-0.12562846601609115,0.0,0.0,-0.0,-0.0,2.8795892309926434,-1.1712118801314453,-0.0,-0.10320864400296696,-0.06167078994187477,0.0,-0.02692400035742418,0.0,-0.0,0.13105574374766324,-0.0,0.0,0.0,-0.1380828834407706,-0.0,-0.0,0.2186752378362408,-0.0,0.13675544844775467,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.03776124561382487,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.189884465693294,0.0,-0.0,0.007366616568639032,-0.0,-0.0,-0.4055676538807304,-0.0,-0.1706065091995914,-0.0,-0.10558292521478096,-0.2351333545452743,-0.0,0.0,-0.0,0.0,0.060277452799394594,0.0,-0.0,-0.0,-0.0,-0.10131842105849657,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.06362392223260459,-0.12109863450159696,-0.0,-0.0,-0.09984996108839576,0.0,-0.0,-0.0
