2.376367053977695765e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00,-6.514093614728691528e-02,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-9.190605267487779451e-03,-3.316199892936282090e-02,0.000000000000000000e+00.3,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-4.768500377405799906e-01,0.000000000000000000e+00.7,-0.000000000000000000e+00.4,0.000000000000000000e+00.8,-2.037098164055140825e-01,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.12,0.000000000000000000e+00.13,9.317529632780967297e-02,-0.000000000000000000e+00.7,7.647083789103714668e-02,-0.000000000000000000e+00.8,-2.022603072040866368e-01,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,0.000000000000000000e+00.14,-0.000000000000000000e+00.11,0.000000000000000000e+00.15,0.000000000000000000e+00.16,2.391262056292371985e-01,0.000000000000000000e+00.17,-0.000000000000000000e+00.12,5.546946144103052229e-02,-0.000000000000000000e+00.13,0.000000000000000000e+00.18,-6.172978081975213221e-02,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-3.722976829160213469e-02,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-8.319679715062205938e-01,0.000000000000000000e+00.21,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,1.486287103568715018e-01,-0.000000000000000000e+00.18,1.550682302527928678e-02,7.309412396452140588e-03,-0.000000000000000000e+00.19,0.000000000000000000e+00.22,-0.000000000000000000e+00.20,1.248455160008946491e-01,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,-2.589177521542270766e-01,1.468425222625524273e-01,1.688070501288336245e-01,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-0.000000000000000000e+00.25,-4.262448540947525594e-02,-0.000000000000000000e+00.26,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,-1.048850792890093780e-01,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,0.000000000000000000e+00.32,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,0.000000000000000000e+00.36,2.785572623579886109e-01,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.37,-0.000000000000000000e+00.32,1.399884068565598536e-02,0.000000000000000000e+00.38,-0.000000000000000000e+00.33,-2.450762115012072306e-01,-0.000000000000000000e+00.34
-0.0,3.9795787763384407,-0.4153566039212609,-0.32278165564649963,-0.8258969994337471,-0.0,-0.0,-0.02697013064317986,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2533764694531326,0.0,0.0,0.0,-0.0,0.06609242555639239,-0.0,-0.0,-0.0,-0.17696446915554107,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02862411606298509,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-1.4247472166428887,-0.014226441378566544,-0.0,-0.7952771484023338,-0.0,-0.0,-0.0,-0.0,0.06198470931705893,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.06365055519669864,0.2177726421534774,-0.1297198078624361,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1765483626507075,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.4153566039212609,2.32048353936648,-0.0,-0.0,-0.0,-0.043175723348944095,-0.3159300348899588,-0.22878416941364177,0.0,-0.0,0.0,0.11516917370759008,0.0,0.0,-0.0,0.03476693194365978,-0.0,0.0,-0.0,0.0,0.11390475019943631,0.0,-0.0,-0.0,0.0,0.0,0.07775990196863179,0.0,-0.0,0.0,0.0,0.0,0.0,0.004009372249355445,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.38708333830103103,-0.0,0.0,-0.03909201842705244,-0.4777883721732512,-0.0,-0.03647618977600874,0.0,0.03307934328746253,0.0,0.0,0.0,0.0,-0.0,0.24680540124451475,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.010168908694604075,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.32278165564649963,-0.0,3.2337447128226975,-1.2096175417531492,0.0,0.0,-0.02009686376727963,0.0,-0.0,-0.00571762350308152,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.3405575656405908,-0.0,-0.0,0.1210057581995694,0.0,0.0,0.04762540276651869,-0.0,0.0,-0.0,-0.2355203131472337,0.0,0.0,0.0,0.0,0.0,0.0,0.11063968944704385,-0.0,-0.0,-0.5251651949888548,-0.8890574923282333,-0.0,-0.0,-0.24267041066403047,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0755386220781742,0.0,-0.0,0.0,0.0,0.3668147165595244,0.0,0.0,0.0,-0.0,-0.0,-0.10043109582354968,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
-0.0,-0.8258969994337471,-0.0,-1.2096175417531492,3.305294752859324,-0.0,0.0,-0.05747940806994432,0.0,-0.0,0.0,0.13635294835823805,0.0,-0.0,0.16798493166668124,-0.0,0.0,-0.0,-0.0,-0.0,0.333293605386159,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.022855402406905968,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.041357062101026666,-0.0,0.11100468582459919,0.0,0.0,0.0,0.0,-0.0070636372173745925,-0.0,-0.0,-0.27573299440373483,-0.624529096848929,-0.0,-0.0,-0.0,-0.0,0.20486446805907768,0.0,0.02502372095442833,-0.0,-0.1411320461566191,0.0,0.0,-0.0,0.0,-0.0057948068272829405,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.037031530898580405,-0.0,0.0,0.0,-0.05762027913469659,-0.00516895500190034,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,3.3659822679603084,-0.0,-0.012040961852757695,-0.141764232933844,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.3926815278911658,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.03834105465970918,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09167036778137817,-0.1276462586755865,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07817035951060929,0.0,-0.6686870644729008,-1.7926595950565098,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.004465967735006849,0.2343246884362292,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.21697344000544116,-0.01787655069560338,-0.0,-0.0,0.0,0.01371910109556013,0.0,0.0,0.0,0.04751626568332853,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.1826305638962543,-0.07513298534344262,-0.1266816835136173,0.0,0.0,-0.30353127612997716,-0.0
-0.06514093614728692,-0.0,-0.043175723348944095,0.0,0.0,-0.0,2.6319784653396217,-0.3747758748978737,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.36727367285762663,-0.0,-0.0,-0.0,-0.1590686115095926,-0.0,-0.0,-0.0,-0.014280872358091707,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.16878755716081922,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1685671194398612,-0.0,0.2518687268678993,0.0,-0.0,0.0,-0.1640378581323669,-0.2264805747041667,-0.0,-0.0,-0.0,-0.0,-0.24862696565333833,-0.0,-0.0,0.0,0.0,0.0,0.0,0.29951600951941504,0.0,0.0,-0.5342703726867435,0.0,0.0,-0.20602431719026032,0.0,-0.3005754281674151,-0.0,-0.14053531171681816,-0.0,-0.0,-0.0,0.0,0.0,0.0950878070859332,0.0,0.0,0.39486182470749126,0.08579737133207166,0.0,0.0,0.030922892156346932,0.049613433967561474,0.0,-0.0,0.13410007139915345,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.1082787319351872
0.0,-0.02697013064317986,-0.3159300348899588,-0.02009686376727963,-0.05747940806994432,-0.012040961852757695,-0.3747758748978737,3.999321475167601,-0.4387476119853692,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.11500327958648585,0.2390604125294956,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1667161469939319,-0.0,0.0,0.0,-0.3411977090687531,-0.0,-0.0,-0.0,-0.0,-1.1708677520637372,-0.7486203837604006,0.0,0.0,0.0,-0.0,-0.0,0.3677891207571595,0.0,0.0,-0.0,0.34271698822290625,0.0,-0.0,0.0,-0.1330583205075925,0.0,-0.0,0.09588289614480412,-0.0,-0.0,0.0,0.1100974903114756,0.2533712392195931,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.16438784998266032,-0.0,0.0,0.0,-0.0,0.0
0.0,-0.0,-0.22878416941364177,0.0,0.0,-0.141764232933844,-0.0,-0.4387476119853692,3.4015066035841928,-0.0,-0.08667713163652194,-0.0,0.0,-0.0,-0.0,0.0,0.027344759207487922,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.029376485266083715,0.0,0.1408765846453266,0.0,-0.0402132229944366,0.0,-0.0,0.0,0.0,0.0,0.05598597434966816,-0.04540028716336891,-0.0,-0.0,0.0,-0.0986518745753692,-0.0,-0.0,0.20718176344997316,-0.0,-0.0,0.0,0.0,0.21721101950235333,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.533305707788254,-0.0,-1.1339486300506425,0.0,-0.0,0.0,-0.1517847575451362,-0.0,0.0,-0.0,-0.0,-0.07879585355111404,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.43019807949300526,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.4066512090921105,-0.1640803163096261,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.00919060526748778,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5760354170399076,-0.11052236189583375,-0.08649019952576381,-0.0,-0.3356312990600911,-0.0,-0.006352907430703279,0.0,0.2679480052761172,0.0,0.15667373679404936,-0.0,0.0,0.0,-0.16436624581679807,-0.013098461176625836,0.0,0.0,-0.0,-0.0,0.27657949137292,-0.0,-0.0,-0.05039575761884488,-0.0,-0.0,0.0,-0.27282400870131,0.0,0.0727172584924479,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.24647147056052143,-0.12567318288519763,-0.0,0.0,-0.0,-0.5572843397438308,-0.0,-0.3684011716740256,0.0,-0.08752877388887578,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.47102758793101224,0.0,-0.17484170066986254,-0.0,-0.09915586818302503,-0.0,-0.0,-0.0,-0.0,-0.03347480696281798,0.0,-0.0,-0.22529668471685851,0.0,-0.0,-0.1786009196794957,-0.11303075329882592,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22166271579645083,-0.0,0.0,-0.0,0.0
-0.03316199892936282,-0.0,-0.0,-0.00571762350308152,0.0,-0.0,-0.0,-0.0,-0.08667713163652194,-0.11052236189583375,1.7979049368093263,-0.21659807104598436,-0.0,-0.0,0.0,0.0,0.13736788496271957,0.0,0.0,-0.0,0.1439065630121558,0.0,0.1591288535421856,-0.2463160475903217,0.0,-0.1591411314505823,0.0,0.0,0.0,0.012356661484298023,-0.0,0.0,0.0,0.1967804273855848,-0.0,0.0,0.0,0.043509071906049634,0.09505549952815834,-0.0,0.14710578341435016,0.0,-0.0,0.0,-0.0,0.2125011967669402,0.25473696576729105,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.41963322671646086,-0.14527605827498682,-0.0,0.0,0.0,0.0,0.0,0.06691965522679219,0.0,0.13647249502021236,0.0,0.0,0.0,-0.3839738259300533,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.004276807286337022,-0.0
