1.736647337954921877e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00.1,-0.000000000000000000e+00.4,0.000000000000000000e+00.2,0.000000000000000000e+00.3,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-2.424676811417127709e-01,0.000000000000000000e+00.4,-0.000000000000000000e+00.10,0.000000000000000000e+00.5,-1.089745856897617188e-01,0.000000000000000000e+00.6,-0.000000000000000000e+00.11,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-2.442303681883926936e-01,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-1.081511603022266982e-01,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-9.365141988656107419e-02,-6.019800146788179679e-02,0.000000000000000000e+00.9,-6.528035612206731014e-04,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-1.900050670141948672e-01,0.000000000000000000e+00.10,-0.000000000000000000e+00.23,1.921050038234473414e-02,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,-1.989236147716087408e-02,-0.000000000000000000e+00.27,-4.233427823784916555e-01,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-9.690333604062872919e-02,0.000000000000000000e+00.11,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,5.825254916378164172e-02,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,0.000000000000000000e+00.12,-0.000000000000000000e+00.36,0.000000000000000000e+00.13,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,3.778029120502672533e-02,1.603402659860392598e-01,0.000000000000000000e+00.14,-0.000000000000000000e+00.39,3.112850543607825413e-02,0.000000000000000000e+00.15,0.000000000000000000e+00.16,1.312134498357831469e-01,-0.000000000000000000e+00.40,-0.000000000000000000e+00.41,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.42,2.042431042798581176e-01,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.43,1.597500976226071123e-01,1.303866560559947541e-01,0.000000000000000000e+00.21,-0.000000000000000000e+00.44,-0.000000000000000000e+00.45,5.486537411906809540e-03,-3.145098430218749574e-01,-1.559896350574591639e-01,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.46,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-1.963718424076224822e-01,-0.000000000000000000e+00.47
-0.0,2.5320396303816755,-0.5614897544311217,-0.32435272272578014,-0.013471717596318456,-0.0,-0.0,-0.8051478322821398,0.0,0.0,0.08558843774586515,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.12045927964987357,0.0,0.07988562686995838,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.19852543896199143,0.0,-0.4187729496950365,0.0,0.0,-0.04024944987590948,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0435379381119906,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.08945647630663003,0.0,0.2614390783353619,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.039514000263357434,0.0,-0.0,-0.12456534411077544,-0.0,-0.0,0.0,0.0,0.0
0.0,-0.5614897544311217,1.8638690464882617,0.0,-0.0,-0.3316416659957769,-0.1385154982315519,-0.056699567479536986,-0.0,0.0,0.0,0.0,0.0,0.0,0.08320767636594606,0.0,0.0,0.0,0.0,0.0,0.0,-0.15334244339696573,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.09184282509954288,0.0,0.0,0.0873197473314696,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.07113194432376996,-0.0,-0.0,-0.0,0.0,-0.0,-0.28815511887710454,0.0044552201034432255,0.0,-0.0,-0.18797235769635745,-0.0,-0.0,0.0,0.0168757497102034,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.08202394563714206,0.0,0.0,-0.0,-0.04620055959018569,0.042703269958371634,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.11459151212654088,0.1829904186679264,-0.05239490011856938,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
-0.0,-0.32435272272578014,0.0,2.423067301766613,-0.0,-0.0,0.01610320594872453,-0.0,0.048365487292348845,0.007055741788298301,0.0,0.0,-0.0,0.05395036096078551,0.0,-0.12502340963601027,0.0,-0.0,-0.0,0.03399805382974941,-0.0,-0.0,-0.0,0.016302428503499396,-0.0,-0.0,-0.2845474633917752,-0.01499170440566046,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0045619496443948,-0.0,-0.0,-0.0,-0.04985091653068466,-0.11867081459010624,-0.00974881456146065,-0.0,0.0,-0.025977695784294916,-0.2543752832019025,-0.1924352935083767,-0.919537861272908,-0.0,0.0,-0.2566613292487007,0.053924251283627295,0.0,0.0,-0.0,-0.0,0.0,0.08853827356645216,0.010137873277127537,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.1540892210715406,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.23424151928671944,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,-0.013471717596318456,-0.0,-0.0,2.347193552530969,-0.09760146437478637,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.009704004900355945,0.0,0.0,-0.0439340024991764,-0.0,-0.0,0.0,-0.0,0.19529747605735337,-0.0,0.0,-0.2861509353642353,-0.0,-0.0,-0.020449085218758607,-0.05843737835412016,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.02569072182071743,-0.0,-0.003532123479510181,0.019308206118823924,0.0,-0.031391079105474985,0.0,-0.038372407559746594,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.274892878531202,-0.0,-1.0728133125483776,-0.13808082708756828,0.0,-0.0,0.0,-0.03877137578078026,0.0,-0.0,0.0,0.0,0.0,0.09107431922594204,0.0,-0.0,0.21016364877205285,0.0,0.0,0.0,0.2481139255100252,0.0,0.0,-0.0,-0.009985825221851714,-0.0,-0.0,0.039492706483380845,-0.0,-0.0,0.0,-0.011800207572914565,-0.0,0.0,0.0,-0.15262869456474543,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.09120656752139401,0.0,-0.0,0.0,0.0,0.0,-0.0
-0.0,-0.0,-0.3316416659957769,-0.0,-0.09760146437478637,2.8563154866323712,0.0,-0.0,-0.5271687799025487,0.0,-0.0,0.0,0.0,0.0,0.025943349049140623,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.4710070430268329,-0.0,-0.023492085039199632,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.10128203672447648,0.0,-0.08118570345766435,0.0,0.0,0.036340524378111576,-0.0,-0.4777381148229247,0.0,-0.0,-0.0,0.0,-0.0,-1.1897733255831884,-0.4757334243568805,0.0,-0.0,-0.0,-0.0,-0.012438445977828776,-0.0,0.0,0.09645064398390393,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0774422533139447,-0.0,0.0,-0.0,-0.0,-0.01774062467250239,-0.045021731944615714,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.007791268573372399,0.0,-0.0,0.0
0.0,-0.0,-0.1385154982315519,0.01610320594872453,0.0,0.0,1.7217378337498828,-0.5646484765614611,-0.06374858387905895,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10549105644441428,-0.0,-0.09268402182913509,-0.0,-0.14035096057343627,-0.0,-0.0,0.0,0.0,0.0,0.08300268815995784,-0.12439601430381753,0.1198900504713062,0.0,-0.0,0.07960534026613339,0.0,0.0,-0.05659397187742584,0.0,-0.0,-0.0,-0.0,-0.3814714636057395,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.060483507018975605,0.0,-0.0,0.002884630625212864,0.06113053374026461,-0.0,-0.050683791768133736,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.17386184146603711,-0.0,-0.0,-0.14731832071680012,-0.0,-0.0,-0.0,0.0,-0.019458164113860758,-0.12969055801181945,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.04747234481808647,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.8051478322821398,-0.056699567479536986,-0.0,-0.0,-0.0,-0.5646484765614611,3.539281863142593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.09689405445673377,0.039284637039094725,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.02469581747541484,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056248872049680126,0.22210174210868,-0.03911680895841752,-0.0,-0.0,-0.0,0.0,-0.0,-1.5557839650766034,-0.4893943573251936,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.13564620939641292,-0.0,0.0,-0.0,-0.221541626303666,-0.0,0.0,-0.020774788762139652,-0.11921185503304257,-0.0390675372063862,0.0,-0.0,-0.0,0.0,-0.0,-0.015943690369618152,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.028704967317414152,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0,0.048365487292348845,0.0,-0.5271687799025487,-0.06374858387905895,-0.0,2.3099576863483438,-0.0,-0.0331956844766936,0.0,-0.0,-0.033539954075608766,-0.0,0.06482554733645537,0.0,-0.2387455685576345,-0.0,0.0,-0.0,-0.0,-0.15950026759756103,0.011895355848872307,0.022213924187782397,0.0,0.05641192016484002,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.125613466101295,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.19641065067592567,0.07965012929026312,-0.0,-0.6703543082592159,0.0,-0.734841515710216,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.05841858509474417,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.052440946662482606,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,0.0,0.007055741788298301,-0.0,0.0,-0.0,-0.0,-0.0,3.282188460845292,-0.2720921433290446,-0.7511018709625482,-0.0,-0.0,-0.0,0.0,0.0,0.24699211550251332,0.0,-0.06911127928922671,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.09628065931958726,-0.0,-0.04468447813331445,0.0,0.0,-0.0,0.0,0.0,0.0,-0.06797289831837122,0.0,-0.024567141686437192,-0.14859962836806384,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.14278564176167932,-0.0,-1.292980175312619,-0.004131742250665581,-0.0,-0.0,-0.02764312770414242,-0.0,-0.0151560179972683,-0.0,-0.0,-0.0,-0.012894122965699351,0.0,-0.0,-0.0,-0.0,-0.0,-0.04115611157726669,-0.5058711075703358,-0.0,-0.0,-0.003471329804843853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24524235892226903,-0.0,-0.003727952860772383,-0.1738708589506573,-0.0,0.0,0.0,-0.0
-0.0,0.08558843774586515,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0331956844766936,-0.2720921433290446,2.4405987925819894,-0.5511142429903024,-0.08201737561152797,-0.0,-0.06318549091301792,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.08722432274169786,-0.0,-0.0,-0.050507355214385166,-0.0,-0.18191939056784623,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.02097466057593208,-0.06556509879211017,-0.0,-0.0,0.08202678695606849,-0.0,0.03441051104722842,-0.0,0.0,0.0,0.0,0.06117395170232307,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.9054595492670591,-0.011350732145258759,-0.0,-0.0,-0.039457328655453934,-0.0,-0.0,-0.0,-0.0,-0.04254233030832619,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.06601211033497013,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02024164118321175,-0.0,-0.21323127966392336,-0.0,-0.0,0.0,-0.0,0.0,-0.0
