1.471815817158499184e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.4,6.103739285290156469e-02,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-2.332722562306939473e-01,0.000000000000000000e+00.8,-0.000000000000000000e+00.5,0.000000000000000000e+00.9,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,2.509032474452968509e-01,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.10,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,1.037971512930353953e-02,-2.915749699055420474e-01,0.000000000000000000e+00.11,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,0.000000000000000000e+00.12,-2.423153179074286068e-01,0.000000000000000000e+00.13,4.199316945119561939e-02,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,1.033738966436349854e-01,-0.000000000000000000e+00.18,0.000000000000000000e+00.17,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-1.709124306013205252e-01,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.25,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-4.956872906990775207e-03,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,1.399696584181460979e-01,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40,-0.000000000000000000e+00.41,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-3.840310523305195262e-02,0.000000000000000000e+00.27,-0.000000000000000000e+00.42,-0.000000000000000000e+00.43,-0.000000000000000000e+00.44,-0.000000000000000000e+00.45,-0.000000000000000000e+00.46,-0.000000000000000000e+00.47,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.48,-0.000000000000000000e+00.49,0.000000000000000000e+00.32,0.000000000000000000e+00.33,0.000000000000000000e+00.34,-3.819900357803862612e-01,-6.683374090321457517e-02
-0.0,4.9349680601758035,-0.0,-0.17210640985541686,-1.4422110433233166,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.4886569076649727,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.006035972153069392,-1.0996567503617456,-1.274803704875462,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06283183033385868,0.0,-0.0,-0.0,-0.06991819240556693,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.29587138360749315,-0.01118404685330791,-0.0,-0.0,-0.0632629708730578,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02393035705895428,0.0,-0.0,-0.0,0.0,-0.0
-0.0,-0.0,4.05166711547683,0.0,-0.0,-1.0240584746283092,-0.0,-0.0,-0.35087989927477903,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.15378199158210068,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1716423768065916,-1.5409809898314684,-0.0,0.0,-0.3812353185461321,-0.08847969161339538,-0.1199326311541372,-0.01621987124970545,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.03215181642835613,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06916568509777095,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.14776521153966826,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.0,-0.17210640985541686,0.0,3.0117167621491725,-0.41749438944650175,0.0,-0.0,-0.6168012118547511,-0.0,-0.3090390881151108,0.07348259102364964,-0.0,-0.0,0.0,-0.314529402750698,-0.38565586960395504,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.1558465453340565,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.032099118469537766,-0.0,-0.0,0.0,0.0,0.11208937373212276,0.0,0.11423517638226063,-0.0,-0.0,-0.39399649222717176,-0.0,-0.0,0.0,-0.0,0.0,0.011756544807476923,-0.1090138151495422,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.41196001404487775,-0.0,-0.0,-0.0,-0.10299116046832772,-0.0,-0.0,-0.0,0.0,-0.2490840157190665,-0.0,-0.05023843220274056,-0.0,0.0,-0.0,-0.0,-0.0,0.2865216154229636,0.03717375594523076,-0.0,-0.0,-0.0,-0.0,-0.04426366940940316,0.0,0.0,0.0
0.0,-1.4422110433233166,-0.0,-0.41749438944650175,4.134588688455204,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.499284655340665,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.6462065181217406,-0.20977093160656232,-0.0,0.0,-0.37572517972309727,-0.0,0.019049885018168723,-0.03880156969829597,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.13199444611286035,-0.0,-0.0,-0.0,-0.0,0.27787083491245135,-0.0,-0.09632797475957283,-0.0,-0.00677592659868859,-0.023354058253612,-0.0,-0.0,-0.0,-0.0,-0.25016655104611485,-0.0,-0.04488099186633559,-0.0,-0.14872812078496866,-0.0,-0.0,0.0,-0.1056533865764417,-0.0,0.0,0.0
-0.0,0.0,-1.0240584746283092,0.0,-0.0,3.7972341868079855,0.0,-0.0,-0.4459112908281422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.13665059230398008,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.08815157780992694,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.13365085801309828,0.0,0.0,-0.0,0.0,0.09437701099348399,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.1209585281783376,-0.8975215984448582,-1.1611520610895247,-0.0,-0.14133867481309637,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.06225387082992562,-0.0,0.0,-0.0,-0.0,-0.0016886051391612983,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.03718157696970396,-0.0,-0.2582646074838202,0.0
0.0,-0.0,-0.0,-0.0,-0.0,0.0,4.2289253557238995,-0.4273499570265587,-0.0,-0.0,0.0,-0.0,-0.0,-0.39212808695644863,-0.0,-0.30056741191137687,-0.0,-0.0,-0.0,-0.0,-0.11377307466938424,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.10509110759269576,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.5370440394144194,-1.0198392485821155,-0.0,-0.0,-0.0,-0.3102621612133775,-0.0,-0.004876885793568567,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08531624947121344,-0.3786259757051108,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2989442252178629,-0.0,-0.0,0.0,-0.0,-0.0,-0.10309133666542263,0.0,0.0,0.0,0.0,0.0,-0.0,0.06365394206138857,0.0,-0.0,0.0,-0.0,-0.0,-0.5355312814847737,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.6168012118547511,-0.0,-0.0,-0.4273499570265587,3.455745048411739,-0.3593852722423083,-0.0,0.10372104767403575,0.0,-0.0,0.0,-0.0,-0.06555205893065982,-0.0,-0.0,0.0,-0.0,-0.12855007990785924,-0.0,-0.0,0.0,0.09355901489877597,0.0,-0.0,-0.0,0.0,0.0,0.18424221855471257,-0.0,0.0,-0.0,0.0,-0.0,0.028733592871039933,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.18325903888199657,-0.0,-0.0,-0.0,-0.0,-0.7099615425047904,-0.8490898162992544,0.0,0.08757109944736813,-0.0,-0.0642714429359013,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.091385758506572,-0.0,-0.0,-0.0,-0.21176505507158103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.13076697188193637,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.008826256269089394,0.19570912898269335,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.35087989927477903,-0.0,-0.0,-0.4459112908281422,-0.0,-0.3593852722423083,4.679723947705922,0.0,0.0,-0.0,-0.21649836143038412,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.28875959682113006,0.0,-0.0,0.0,0.1257215040625767,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06871775117900553,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.1755145126906264,-0.2508449677365125,-0.0,-0.0,-0.4783920430213658,-1.2522903295004315,-0.0,-0.6786156443179799,-0.0,0.0,0.0,-0.232708379889572,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18860633318475128,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.01281383247509318,-0.0,0.0,0.11024140268863528,0.0,0.0,0.0,0.0,0.0,0.0,-0.11584337717366217,0.02012174706914015,-0.0,-0.0,0.0,0.0,0.0,0.06531981107824408,0.0,-0.0,-0.0963207975703131,0.0
-0.0,-0.0,-0.0,-0.3090390881151108,-0.0,-0.0,-0.0,-0.0,0.0,2.378249096696733,-0.0,-0.0,-0.0,-0.0,-0.07792512385186774,-0.0,-0.0,0.007279050835751819,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.42341412248898336,0.0,-0.0,-0.0,-0.00762493026317768,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.7211757254559621,-0.0,-0.0,0.06257986460215285,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.2041487348989953,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.23926702920984183,-0.0,-0.37046592121866456,-0.0,-0.0,-0.18374501024200832,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.44683358033983134,-0.0,-0.08582400214453811,-0.05802724319619353,0.19159274873675217,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
0.0,0.0,0.0,0.07348259102364964,0.0,-0.0,0.0,0.10372104767403575,0.0,-0.0,1.6265098360102883,-0.29424932988745484,-0.10252625051717922,-0.0,-0.0,0.07621946235494327,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.15623340133091354,0.0,-0.0,0.0,-0.07169493470848118,0.031490488505429064,0.0,0.0,0.0,-0.0,-0.29899210607642446,-0.0,-0.0,-0.0,-0.0,0.0,-0.06369105600728776,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.49588677050204094,-0.47263138398955173,-0.13540427729064525,-0.0,-0.0,-0.0,-0.10411384554171536,-0.03497794355522704,0.05533801681619418,-0.0,0.08145507669157079,0.07627976355190963,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.16617111706809953,0.0,0.05927375131702128,0.0,0.0,0.15373119374446648,-0.0,0.0,0.0,0.09017760306453423,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
