1.349813306865536688e+00,0.000000000000000000e+00,-9.565161710774408577e-02,-8.553316440854648317e-02,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-8.578132628567003426e-02,-0.000000000000000000e+00.4,0.000000000000000000e+00.3,-2.084780725894211095e-01,-0.000000000000000000e+00.5,-2.593380372299821657e-01,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.6,-5.103738329359267661e-02,1.292554538622098792e-01,-0.000000000000000000e+00.7,0.000000000000000000e+00.7,-2.607649462106541582e-01,-0.000000000000000000e+00.8,0.000000000000000000e+00.8,0.000000000000000000e+00.9,-4.109160028721101088e-02,-0.000000000000000000e+00.9,2.128159273540413884e-02,-0.000000000000000000e+00.10,-5.385815671238733393e-02,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-8.151253235969084521e-02,0.000000000000000000e+00.12,3.978443792060112200e-02,0.000000000000000000e+00.13,1.668299405945115887e-01,0.000000000000000000e+00.14,-0.000000000000000000e+00.11,0.000000000000000000e+00.15,-0.000000000000000000e+00.12,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-2.880180059465332551e-02,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,9.315445444866489455e-02,8.456876719504723139e-02,-0.000000000000000000e+00.16,1.614216186586630852e-01,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-1.712223032273676483e-03,-0.000000000000000000e+00.23,-1.005511676892588968e-01,4.259158978666342105e-02,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,2.284146765201773219e-02,0.000000000000000000e+00.27,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.31,0.000000000000000000e+00.32,0.000000000000000000e+00.33,1.206650879771407475e-01,0.000000000000000000e+00.34,0.000000000000000000e+00.35,3.782352720738911545e-02,-1.812750775892657262e-01,0.000000000000000000e+00.36,-1.768514000305195432e-03,0.000000000000000000e+00.37,-0.000000000000000000e+00.32,-3.974998510209178798e-02,-0.000000000000000000e+00.33
0.0,2.0917059730553764,-0.3300217781686436,-0.3373352866178639,-0.5043141563327329,0.11177076517161504,-0.003296883723340737,-0.0,0.03027938207188068,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.004983681261234225,-0.0,0.0,-0.026269821333521303,0.0,0.002159502502445204,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.08835995033845102,-0.0,-0.0,0.0,0.0,-0.0,-0.037214494137629194,-0.0029514424841983696,0.0,-0.0,0.0,0.0,0.11051500691592223,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.5456467119387192,0.0,-0.0,-0.4519993219648463,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.04819928702495126,0.0,0.0,-0.0,0.0,0.0,0.05584249454718603,0.0,0.0832536760406626,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.18305081056599112,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
-0.09565161710774409,-0.3300217781686436,1.7515706970456106,-0.3955871677754505,-0.0,0.0,-0.05811444521694745,-0.3378884828708055,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.20856432653015147,-0.0,0.057097406885911285,0.0,0.0,0.0,-0.0,0.0,0.08497260820338734,0.0,-0.0,0.0,-0.0,0.0,-0.21881309480095928,0.07379915472422177,-0.02674637005840236,0.0,0.0,0.0,0.0,0.08378833893671904,-0.0,0.026263525699907447,0.0,0.0,0.053220042619579966,0.0,0.0,-0.0,-0.013934142893947067,0.0,-0.03251910409982939,0.0,0.0,0.07880279188593468,-0.0,0.0,0.0,-0.3043267782517812,-0.0753668990260683,0.0,-0.0,-0.05527996286987704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.09301528952233523,-0.0,0.12360273433518436,0.0,0.13324709841139204,-0.0,0.0,-0.0,-0.0,-0.11430622288039095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.025482933189141327,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.1401795392640994,0.028218004769477473
-0.08553316440854648,-0.3373352866178639,-0.3955871677754505,2.167165401745059,-0.2200957087490966,0.0,0.0,-0.47037850048699353,-0.012972578616238812,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.24526862693513551,0.0,0.0,-0.0,0.0,-0.0,0.19280465795242932,-0.0,0.0,0.09143179424956105,0.0,0.0,0.008511405486783115,0.408075283682552,-0.0,0.0,0.0,-0.06854812283523105,-0.0,0.0,0.0,0.0,0.0,-0.0,0.003258501856128227,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08495079019164908,0.0,0.0,-0.442096933034906,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.277792667246401,-0.0,-0.0,-0.0,-0.0,-0.05153781007808291,0.0,-0.2642630010935838,0.0,0.26682113599210167,0.0,-0.009821216984759776,-0.0,0.025539909547249863,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15076874867166887,-0.0,-0.0
0.0,-0.5043141563327329,-0.0,-0.2200957087490966,2.4263347517556775,-0.0,-0.1935758886973562,-0.11966698259801828,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.06386063406307232,-0.05953400836128725,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.06211077855197164,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.027191530539054688,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.18905710809778095,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.17721847875192695,-0.15021396921294045,-0.0,-0.42340586394856233,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.007436853032504306,-0.0,-0.039490745327791954,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.005737191354270231,-0.0,-0.02117962103938552,-0.0,-0.11393873198786418,-0.0,-0.025033683128756423,-0.337615106425506,0.0,0.0,-0.0,-0.056997662351737935,-0.0,-0.0,-0.14681179934610103,-0.0,-0.05460917858245064,-0.004480703963166186,-0.0,0.0,-0.1621108421470189
0.0,0.11177076517161504,0.0,0.0,-0.0,3.1670080407298355,0.0,-0.0,-0.2951732370698024,-0.0,0.020837530836328888,0.0,0.008237868607631593,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.28299329319661853,-0.0,0.13955276063411115,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.21489732540995723,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.17389341232045477,0.006018173073193444,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.2591513218825791,0.0,-0.0,0.0,-0.4883842701963184,-0.0,0.0,0.0,-0.0,-0.061530876047936736,-0.525955503193842,-0.7146985377263523,-0.0,-0.5430337010840449,-0.0,0.06092409549318662,0.0,0.018947285851596128,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.045996108696650814,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.016143921482522028,-0.0,-0.0,0.0,-0.0,-0.018995664817571572,-0.0,-0.0,-0.27679880916227567,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.018576201530523456,0.0,0.0,-0.0,-0.0
-0.0,-0.003296883723340737,-0.05811444521694745,0.0,-0.1935758886973562,0.0,1.915983121986436,-0.4423202289332727,0.12071794822590896,-0.0,0.0,-0.0,0.0,-0.028717081956247167,-0.0,-0.1633055725494517,0.0,-0.2905087495534942,-0.0,-0.0,-0.0,-0.054314930201981394,-0.41327764452151994,0.0,0.23969766970075795,-0.05538478448954327,-0.0,-0.0,-0.0,-0.0,0.0,-0.04635507205975664,-0.0,-0.013831952267445928,-0.0,-0.158450566356279,0.0,-0.0,-0.0,-0.0981055875262552,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.17561584787431384,-0.0,-0.0,0.0,0.09212622193781927,0.0,0.07746988066989878,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.034346709354702014,-0.0,0.0,-0.0,-0.004624048432854239,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.02912422395482182,0.0,-0.0,0.05079712680697072,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.3378884828708055,-0.47037850048699353,-0.11966698259801828,-0.0,-0.4423202289332727,2.8498779063922153,-0.0,0.0,0.0,-0.06167539593420467,0.0,-0.0,0.103914471829997,-0.4056566409549784,-0.07045789366705893,-0.36145741446945856,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.072003935760877,-0.0,-0.0,0.020276407237107563,-0.0,-0.0,0.0,-0.0,0.0,-0.04020456606706252,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.07743722633740438,0.0,0.0,0.14402256134493363,0.0,0.0,-0.11096163755374948,0.0,0.0,0.23740782646911313,0.0,0.0,-0.0,-0.0,-0.3336690421016199,-0.7641710629854173,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.4065539556346524,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0549452025955468,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.03106169920492871,0.05824832554787299,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.03027938207188068,0.0,-0.012972578616238812,-0.0,-0.2951732370698024,0.12071794822590896,-0.0,2.0506594236823736,-0.08379108519499293,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0431186298436913,-0.0,0.06691349446418932,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.13783384151731362,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6048428027925729,-0.0,-0.0,0.02001588213352687,-0.0,-0.0,0.0,-0.0,0.0,-0.5945844464673152,-0.14298317839213495,0.0623494308305332,0.0,-0.0,0.1057580634222864,-0.0,-0.0,-0.0,0.0,-0.0991078271762015,-0.0011040757142384752,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.1154921496636731,-0.0,-0.0,0.0,0.0,-0.0,-0.0
-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.08379108519499293,2.91623296902006,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.691829722857754,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05846012157937278,-0.260064363384694,-0.0,-0.17409548410228443,-0.0,-0.0,-0.0,-0.0,-0.19640331105437736,0.0,-0.0,-0.37945370515403337,-0.05300368978228408,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.4251321880750196,-0.37942371115486306,-0.0,-0.0,-0.0,-0.08489419532207677,-0.11119209994040592,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.1484858053461773,-0.1108658462681681,-0.0,-0.3615984889082056,-0.23224090788539753,-0.0,-0.18198228338148123,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04126914395178944,0.0,-0.0,0.0,-0.0,0.2593031036924294,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.08578132628567003,0.0,0.0,0.0,0.0,0.020837530836328888,0.0,0.0,-0.0,-0.0,1.832023816551624,-0.4255654040302674,-0.19072591514792184,-0.0,-0.04582126979656213,0.015845576710232737,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.035059955140840204,-0.10005891436302806,0.0,0.0,0.0,-0.0,0.0,0.0,0.11941130479019713,0.0,0.0,0.0,0.08298442428539116,0.0001035976110609243,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.021826018155412946,-0.0,-0.0,-0.0,-0.051846747693055535,-0.0,-0.0,-0.0,0.27973188773328955,-0.0,-0.0,0.0142496738203486,-0.0,-0.27862317972902007,-0.26342872410967494,-0.08851677059889126,-0.0,-0.0,-0.0,-0.23264000100038787,-0.0,-0.06644237824479554,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1360497807800665,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.034368436680991335,0.004056642000117686,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
