1.802307429651732074e+00,-1.104291478233655477e-01,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00,-4.115496477504427264e-01,-0.000000000000000000e+00.3,0.000000000000000000e+00.1,-0.000000000000000000e+00.4,-2.691498786534950449e-01,-0.000000000000000000e+00.5,0.000000000000000000e+00.2,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-3.021041673285402851e-01,-0.000000000000000000e+00.8,-2.061233197903490980e-02,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-3.887918453464640073e-02,2.833947676655751771e-02,-0.000000000000000000e+00.9,0.000000000000000000e+00.5,-7.488398398912901599e-02,2.650313255372990784e-01,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-0.000000000000000000e+00.10,1.767626768847626317e-01,-5.096499743628753881e-02,-1.168543344063998485e-01,-9.458464587082264508e-03,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-2.567438623739737857e-01,-1.005158800465360686e-01,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,0.000000000000000000e+00.8,-0.000000000000000000e+00.22,-3.411498423280301395e-01,-0.000000000000000000e+00.23,-4.874081535601437754e-02,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-4.277578705787815107e-03,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.26,0.000000000000000000e+00.11,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.12,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.13,-3.023822335513512427e-02,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,7.551104163359358135e-02,3.096015743761722921e-02,0.000000000000000000e+00.17,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,2.214444955252739544e-01,-7.020297718298521006e-02,-0.000000000000000000e+00.37,0.000000000000000000e+00.18,-0.000000000000000000e+00.38,-3.789238414138611233e-02,-0.000000000000000000e+00.39,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.40,0.000000000000000000e+00.23,-0.000000000000000000e+00.41,-0.000000000000000000e+00.42,0.000000000000000000e+00.24,-0.000000000000000000e+00.43,-0.000000000000000000e+00.44,-0.000000000000000000e+00.45,-0.000000000000000000e+00.46,0.000000000000000000e+00.25,-3.124065728268531766e-02,0.000000000000000000e+00.26
-0.11042914782336553,3.89454327969336,-0.38690992243477806,-0.0,-0.3403694026165722,-0.0,-0.0,-0.5270446211106917,-0.4691078153922581,-0.0,-0.0,0.1445439856613497,0.0,0.0,0.0,-0.5016315462624399,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1565887603065627,0.0,0.0,0.09091656888066346,0.07824122726036445,0.0,0.0,0.0,-0.14775226872345434,-0.0,0.003322220742583457,0.08749756571136824,-0.0,-0.0,-0.20884517800673527,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.035931639049121195,-0.0,0.0,0.0,-1.023712652667055,-0.0,-0.0,-0.0,0.0,-0.2946933259752993,-0.3307850009704639,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.029434737183462224,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.01194307673248724,0.0,0.06010980517929136,0.0,-0.0,-0.0,0.0,0.0,0.16085536464498298,-0.0,0.0
-0.0,-0.38690992243477806,2.76397188252234,-0.0,-0.0799505745713569,-0.5059638581549187,-0.0,-0.0,-0.6680365535532241,-0.09175055164299997,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.35609281298322687,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.10851725990112517,0.07352803558632717,0.0,-0.0,-0.0,0.09311533691725789,-0.0,-0.0,0.0,0.08405899973560088,-0.4884304369618264,-0.1627293400229244,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.23896569808126988,-0.0,0.0,-0.007550066039437683,-0.0,-0.0,-0.2462532697385525,-0.0,0.0,-0.09958749223544104,0.0,-0.0,0.0,-0.06519706972238565,-0.0,-0.0,0.0,0.19514305744813168,0.0,-0.06200409097427503,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.13509463858967832,-0.0,0.0,-0.014033038268322674,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.09623980347653689,-0.0
-0.0,-0.0,-0.0,3.096128485207101,-0.5188133956359215,0.0,-0.0,-0.2895918547916643,0.0,-0.0,-0.0,0.0,-0.0,0.1219304778025046,-0.0,-0.6322142056236268,-0.03014939607845399,-0.0,-0.0,-0.0,-0.0,-0.07776291438726425,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.02382235193027749,-0.0,-0.0,-0.0,0.21170487646889596,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2874872073224077,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.1397404493361136,0.0,0.0,-0.0,-0.09328392857861635,0.0,-0.06006490890609664,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.121758932362378,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0427743125464048,0.0,0.0,0.0,0.0,0.0,0.019044968764205337,0.0,0.0,0.0,0.1427127570149005,-0.0,-0.0,0.13616036996248895,0.377728703487324,0.08005462507401218,0.0,0.0
-0.0,-0.3403694026165722,-0.0799505745713569,-0.5188133956359215,3.552908919626894,-0.0,-0.0,-0.8294814378403401,-0.0,-0.05581724523397544,-0.15045779372698423,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.11775985867978209,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.14400597565497747,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1219769778382896,-0.0,-0.05958348679814528,-0.0,-0.010517873086996348,-0.0,-0.05518553130638109,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.49105195375859295,-0.517624091427201,-0.43942112899084873,-0.0,-0.19199162888410967,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.44413618475845373,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08136587326694766,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,-0.0,-0.5059638581549187,0.0,-0.0,3.2808535825717753,-0.0,-0.0,-0.49629473211927205,-0.0,0.11435432111356617,0.0,-0.05934376507643508,0.0514324106742072,0.0,0.0,0.0,0.1403589845433277,0.0,0.0,0.001120760557362243,0.0,0.0,0.0,-0.0872491976315488,0.0,0.0,-0.0,-0.002273304778392664,-0.0,-0.014897511914525992,-0.010557482054847089,0.0,0.13977028956801255,0.0,-0.0,-0.04276180413524672,-0.0,0.0,0.0,-0.0,-0.05097623215666046,-0.0,-0.0020054652732498543,-0.1524233540311689,-0.22046240036828485,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.5493032139171923,-0.6123461070197023,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.02065109913995776,0.0,0.0,-0.0,-0.0,-0.0,0.06607423065405187,0.0,0.0,0.12406641588140432,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.4115496477504427,-0.0,-0.0,-0.0,-0.0,-0.0,2.5358240670945165,-0.1408608851693441,-0.0,-0.0,-0.03780976584943704,-0.0,-0.0,0.0,-0.0,-0.18348914479070888,-0.0,-0.3218936669170808,-0.0,0.0,-0.25674065538893426,0.0,-0.0,-0.029323442507714646,0.0,-0.0,0.0,0.4611929846541938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.14135974845407806,-0.0,0.0,-0.018816544233790665,0.0,0.0,0.0,0.3857413483592642,0.0,0.09781733006530088,-0.0,0.0,-0.0,-0.12379059034002007,-0.0,-0.14430263954324382,-0.0,-0.0,-0.2681737076259337,-0.1278469257067827,-0.0,0.0,-0.0,-0.0,-0.23246079015562487,0.127209102175557,0.0,0.0,-0.0,0.0,-0.0,-0.2506386057519321,-0.0,-0.23981045336487616,0.26324640536073046,-0.0,-0.0,-0.03178669826688433,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0854795739544527,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.5270446211106917,-0.0,-0.2895918547916643,-0.8294814378403401,-0.0,-0.1408608851693441,4.187734065166524,-0.0,-0.0,-0.0,0.0,-0.0,0.04105103757246473,0.0,-0.0,-0.0,-0.3557827948725153,-0.0,-0.0,0.0,-0.03517355792067679,-0.0,0.0,0.0016468264986485043,0.0,0.12269866178920968,0.0,-0.018272719310074077,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.1434991933210336,-0.0,-0.4422203149983136,-0.0,-0.1982831363504156,-0.8879905879735309,-0.6004026866071663,-0.0,0.0,0.0,-0.0,0.0,0.0,0.033425388444319755,0.0,-0.0,0.0,0.0,-0.07232481317530685,-0.0,0.0,-0.0,-0.0,0.03184204226458879,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.034132497332091165,0.04254010523167631,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.16809370687996203,-0.0
0.0,-0.4691078153922581,-0.6680365535532241,0.0,-0.0,-0.49629473211927205,-0.0,-0.0,4.315024090745305,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.026489695874604164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.03447123173255455,-0.0,-0.0,-0.08628581007491574,-0.0,-0.0,0.0,0.0,0.07881202774129141,-0.2649498303492562,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.17468306673322645,0.0,0.0,0.0,-0.0,0.0,0.0,-0.7650016216796997,-0.0,-0.08865845614774803,-1.2027938887322716,-0.0,-0.0,-0.012922199536598646,0.0,-0.48320174773594154,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.2918368994113614,0.0,-0.03730900414745741,-0.0,-0.21145303429513287,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.11194427087547625,0.0,-0.0,0.0,0.20053977379476656,-0.0,0.0
-0.0,-0.0,-0.09175055164299997,-0.0,-0.05581724523397544,-0.0,-0.0,-0.0,-0.0,2.9038264363899255,-0.11540281115700309,-0.45288263631078407,-0.0,0.0,-0.4262107267562561,-0.4968321693386354,-0.0,0.0,-0.0,0.0,-0.0,0.17966174779568916,0.0,-0.0,-0.19135773373264003,-0.0,0.0,-0.0,-0.0,-0.0,0.33109011322165754,-0.0,-0.42148762106837984,-0.0,0.0,0.0,-0.0,-0.17817495541675804,-0.0,-0.3710785069438972,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.007964401502406796,-0.0,-0.09089751733976212,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10864028030994882,-0.0,-0.0555585673248926,-0.14859046274672763,-0.0,0.0,0.2565808377350364,-0.0,0.33499430956877063,0.0,-0.16450713201661052,0.0,-0.0,-0.17162267795621866,0.0,0.0,0.18612551677738415,0.0,-0.0,0.0,-0.0,-0.17004080636756583,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.03899477461393589,-0.0,0.0,0.0,0.06274152914367839,-0.0,-0.0,-0.0
-0.26914987865349504,-0.0,-0.0,-0.0,-0.15045779372698423,0.11435432111356617,-0.03780976584943704,-0.0,-0.0,-0.11540281115700309,2.0988890106714364,-0.2230034155302117,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.047456782758840015,0.0,0.0,0.0,0.12046577663130996,-0.0,0.0,-0.0,0.2432736503836544,0.0,-0.0,0.05848353376790213,0.0958229025416992,0.055744371319185165,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.057919139727465214,-0.0,0.05527362459441532,0.0,0.019043457002438494,0.0,0.11256353851792925,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.4268168706366535,-0.3956296541170984,-0.0,-0.231381736820526,0.0,-0.0,-0.0,-0.0,-0.17494571201461964,0.0,0.0,-0.0,-0.0,0.058924967578649665,0.0,-0.0369027353934447,-0.0,-0.0,-0.28733367430475626,0.0,0.0,0.0,0.0,-0.06840993136187057,0.0,-0.12182887427321452,-0.0,-0.04709864414527606,0.0,-0.0,-0.2176861829689377,-0.0,-0.2713987497473539,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
