2.215919495282764551e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.5,0.000000000000000000e+00.3,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-0.000000000000000000e+00.6,-3.820328244637964943e-01,-0.000000000000000000e+00.7,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-5.107717925801673331e-02,-0.000000000000000000e+00.8,1.516266701109413584e-01,0.000000000000000000e+00.9,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,1.290213705630351149e-01,-0.000000000000000000e+00.11,0.000000000000000000e+00.10,-0.000000000000000000e+00.12,1.465352538773617153e-01,-0.000000000000000000e+00.13,-3.994978975824359790e-01,-0.000000000000000000e+00.14,0.000000000000000000e+00.11,1.829810242202675741e-02,-0.000000000000000000e+00.15,0.000000000000000000e+00.12,-1.644196380757926845e-01,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,1.487592114338366980e-02,-0.000000000000000000e+00.18,0.000000000000000000e+00.15,-0.000000000000000000e+00.19,0.000000000000000000e+00.16,-0.000000000000000000e+00.20,-2.003825568278930214e-01,-1.214262371530515222e-01,-8.191965980129488623e-01,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.17,-1.444317162322894532e-01,0.000000000000000000e+00.18,2.000043315631369958e-02,2.405461105019658652e-02,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.24,0.000000000000000000e+00.23,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,0.000000000000000000e+00.24,1.895258527093769685e-02,0.000000000000000000e+00.25,-0.000000000000000000e+00.27,9.803099940214154984e-02,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-1.378145352401778656e-01,-0.000000000000000000e+00.32,1.631093196088514441e-01,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.31,0.000000000000000000e+00.32,-0.000000000000000000e+00.35,0.000000000000000000e+00.33,0.000000000000000000e+00.34,-3.588959260518218182e-03,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,3.727820364068830383e-02,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,0.000000000000000000e+00.35,-5.958350234929180034e-02,-0.000000000000000000e+00.40
0.0,4.220041105172207,-0.5091192990984157,-0.0253125736075402,-0.32796396303387926,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6918542836116555,-0.0,-0.0,-0.05248549511498416,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01047503988949284,-0.0,-0.0,-0.0,0.0,0.0,-0.16895093359383193,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.06961219502709207,-0.1228720251722244,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0526284779340127,-0.12274402600687404,-0.7817950058500092,-0.22922354228190953,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.2788580242277451,-0.04440071218203812,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0057423955065098045,-0.0,-0.0,-0.0,-0.1787833733753044,-0.0,-0.16800095659833383,-0.0201000378349998,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
-0.0,-0.5091192990984157,2.8710260614475227,0.0,-0.0,-0.1364712116254008,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15004999584426307,-0.0033683902016967224,-0.0,0.0,-0.11224946498483585,-0.10498816768288496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.22145221324035463,0.0,0.20475444760609393,0.0,-0.0,0.0,-0.0,-0.0,0.17991365320170655,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.37939440818198633,-0.053820791641191856,-0.0,-0.6584185070055361,-0.572008150819492,-0.0,-0.0,0.18667653406877585,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.025423024874976583,-0.0,-0.0,-0.07748072493737673,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0878029408385158,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.18575103556303615,-0.0
-0.0,-0.0253125736075402,0.0,3.584336616138444,-0.7644346264147872,0.0,-0.19975268921145403,-0.7052919170230861,-0.0,-0.0,-0.0,-0.03764326810987081,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0944346763833731,0.05528882057030024,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04999683840129159,-0.0,-0.0,-0.0,0.0,0.022868609268018196,0.0,-0.0,0.0,-0.0,-0.0,-1.5028381600807623,0.0,-0.0,-0.0,-0.2587665075622674,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.09008079373003597,0.2502599984019344,0.027733461490681635,0.0,0.0,-0.0,0.0,-0.1167151004127006,0.0,0.0,-0.0,0.0,-0.0,-0.08460918745355024,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.16560363166880307,0.0,0.0,-0.0,0.0,0.07137023579780906,0.0
-0.0,-0.32796396303387926,-0.0,-0.7644346264147872,4.419112607497129,-0.0,-0.0,-0.42891770025402526,-0.4839437497762068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.03580290516207233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23230923799047248,-0.0,-1.2515715057458352,-0.5630761759675649,-0.2169755167337921,-0.0,-0.10555397726566916,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.12501878571656108,0.0,-0.0,0.0,-0.0,-0.14565256385034853,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.013329236970792184,-0.05322204046505222,-0.0,0.0,-0.0
-0.0,-0.0,-0.1364712116254008,0.0,-0.0,4.000997111508378,-0.10751915755966134,-0.0,-0.4454933280747366,-0.0,-0.0,-0.051169038941106026,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.4297454693232808,-0.0,0.0,-0.0,-0.0,0.0,-1.7090959307770583,-1.1070692935209396,-0.0,-0.0,-0.0,-0.0,-0.14740470073202247,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.12848211246365673,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.22937887186358943,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.016788948311569143,-0.0
-0.0,-0.0,-0.0,-0.19975268921145403,-0.0,-0.10751915755966134,3.4095000054350124,-0.7990098579063082,-0.028231488175104135,-0.0,-0.0,-0.0,-0.11139265433385166,-0.0,0.0,-0.7311875545155664,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.34176855796268807,-0.3865113142037946,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.08161903920766321,-0.0,-0.0,-0.0,-0.02427911327461547,-0.0,-0.0,-0.6706723876246464,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.40329143763017616,0.0,0.13537862558380628,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.3097088826160963,0.0,0.06406967748592486,0.0,0.0,-0.0,0.05040671643597181,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.7052919170230861,-0.42891770025402526,-0.0,-0.7990098579063082,5.377958500101591,-0.7647257897021169,-0.0,-0.0997400959098658,-0.04546673802225425,-0.0,-0.10240293190049068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.10140712291671614,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2832405365119182,-0.0,-0.0,-0.9145377797143373,-1.5062285740370662,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2630482255862109,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.2188347104895333,0.0,-0.0,0.010440108775566259,0.0,-0.0,0.2287638480056542,-0.0,0.0,0.0,0.0,0.07302293709950637,0.0
0.0,-0.0,-0.0,-0.0,-0.4839437497762068,-0.4454933280747366,-0.028231488175104135,-0.7647257897021169,4.324696191721621,-0.3935954546592455,-0.0,-0.0,-0.0,-0.08373458498067926,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04955285948115468,0.0,-0.0,-0.0,0.0,-0.0430994512588649,-0.0,0.0,-0.0,-0.26661940289729846,0.0,0.0,-0.0,-0.0722596697481742,-0.0,-0.0,-0.11654121202647225,-0.0,-0.0,-0.04007487376224936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.2886005733416327,-0.16998114493113692,-0.0,-1.4295676164096676,-0.002404145643110248,-0.0,-0.0,-0.0,-0.05156435271105164,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3935954546592455,3.965805509584027,-0.7796634391750236,-0.8179102024620362,-0.09990800431855422,-0.0,-0.0,-0.0,-0.04874578029833586,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5950625602564465,-0.0,-0.0,0.0,-0.14927994235441652,-0.0,-0.0,-0.0,-0.07220071710067283,-0.0,0.0,0.0,0.0,-0.3049720968272769,-0.374888357917588,-0.10482472796517973,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03516898573501547,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1728660222876017,-0.38779201248263767,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19672726543643287,0.0,-0.0,-0.02605121150092836,-0.0,-0.036614060193986886,-0.0,0.0,-0.0,-0.12076165489627697,-0.0,-0.0,0.0,-0.12403904506098916,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0997400959098658,-0.0,-0.7796634391750236,3.2626204581106037,-0.8631555429976752,-0.15272158241381106,-0.0,-0.007017980641195206,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0765868883845692,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.2945781932951021,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.37648958571944185,-0.0,-0.7074063897033298,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08466342088814739,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.08990778110243902,0.0,0.0,0.2435421173487848,0.0,0.03249607699043223,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.025524491820302253,0.37439238465996105,0.0,0.0
