0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.0,0.877878,0.843967,0.75639,0.818623,0.869548,0.8198854,0.793799,0.766843,0.814233,0.861812,0.78953,0.71995,0.775876,0.736371,0.865876,0.763687,0.819903,0.74787,0.851227,0.875762,0.786887,0.759204,0.793269,0.83816,0.845546,0.725952,0.857803,0.8147,0.744126,0.83446,0.896746,0.895531,0.775122,0.698591,0.817686,0.765159,0.828998,0.873991,0.827775,0.728492,0.745468,0.757563,0.834449,0.891766,0.830839,0.74097,0.691608,0.841693,0.860502,0.911631,0.942651,0.892213,0.771514,0.835418,0.822567,0.855691,0.807579,0.897266,0.906352,0.874451,0.819198,0.747926,0.835594,0.746742,0.852757,0.824097,0.838635,0.804387,0.750437,0.88884,0.727486,0.863324,0.825278,0.874353,0.899035,0.850835,0.834428,0.810362,0.83631,0.728615,0.764029,0.859359,0.751861,0.793445,0.799001,0.752824,0.852678,0.828301,0.780758,0.747285,0.81552,0.840748,0.8051662,0.813545,0.923164,0.772521,0.805029,0.835354,0.816858
0.877878,1.0,0.928054,0.800933,0.847569,0.764019,0.938456,0.82462,0.760011,0.762103,0.736992,0.719128,0.674592,0.715967,0.877311,0.906902,0.823168,0.865706,0.804495,0.909984,0.925932,0.826511,0.793473,0.818835,0.780132,0.855447,0.736561,0.776771,0.864454,0.751841,0.780254,0.827866,0.795521,0.860259,0.688937,0.81521,0.776808,0.829846,0.79034,0.816818,0.772917,0.749198,0.648486,0.787977,0.804474,0.814585,0.772491,0.814185,0.814491,0.853252,0.816853,0.949891,0.913428,0.773912,0.955104,0.80982,0.843634,0.776741,0.761139,0.789291,0.753534,0.818106,0.644654,0.914226,0.861199,0.833693,0.928864,0.712517,0.797552,0.8236,0.896393,0.729889,0.849397,0.821528,0.722636,0.810249,0.857551,0.835521,0.87512,0.870909,0.751656,0.769158,0.851162,0.793776,0.772457,0.712791,0.760782,0.764589,0.832487,0.7684435,0.706629,0.828216,0.784289,0.891508,0.731824,0.807683,0.782724,0.808971,0.813037,0.855707
0.843967,0.928054,1.0,0.821985,0.814151,0.835511,0.864747,0.855093,0.765592,0.797086,0.756505,0.715423,0.716885,0.744832,0.861769,0.930455,0.826239,0.939645,0.80716,0.901794,0.869323,0.824111,0.7316,0.798675,0.850545,0.866219,0.761398,0.767733,0.820982,0.722251,0.7461791,0.838595,0.844437,0.817694,0.696542,0.829896,0.791609,0.912276,0.761887,0.853832,0.830859,0.772764,0.688481,0.747537,0.827796,0.7413114,0.772731,0.861527,0.803611,0.886924,0.802294,0.872785,0.860436,0.791016,0.965043,0.9405,0.85393,0.759501,0.8055,0.839647,0.78131,0.820539,0.634673,0.873893,0.888418,0.847203,0.885608,0.741963,0.870196,0.790126,0.821469,0.728802,0.862228,0.787088,0.73066,0.844733,0.82976,0.850831,0.825331,0.819105,0.752539,0.791907,0.872292,0.824305,0.727661,0.763204,0.69611,0.715927,0.834921,0.805824,0.664226,0.790635,0.764455,0.877415,0.743196,0.816481,0.775164,0.794214,0.806532,0.850679
0.75639,0.800933,0.821985,1.0,0.875208,0.822098,0.752447,0.898268,0.846081,0.843277,0.795424,0.746953,0.695477,0.744779,0.917806,0.753856,0.777884,0.77532,0.779304,0.779502,0.734159,0.719284,0.822732,0.758564,0.832244,0.804604,0.872494,0.813369,0.799917,0.802795,0.759837,0.729412,0.738361,0.859931,0.619185,0.809994,0.81211,0.742214,0.746205,0.797557,0.768313,0.739019,0.723263,0.742998,0.847021,0.750726,0.768651,0.891686,0.742552,0.824613,0.795847,0.720459,0.769184,0.977754,0.835887,0.799469,0.889803,0.860028,0.719083,0.818998,0.7508903,0.768828,0.771734,0.834559,0.811771,0.778644,0.827197,0.741055,0.775368,0.718298,0.695641,0.695406,0.846683,0.741197,0.740218,0.800777,0.793357,0.852788,0.727891,0.809153,0.769055,0.727952,0.782684,0.78948,0.775826,0.760684,0.775936,0.803277,0.777173,0.859026,0.746977,0.822463,0.784468,0.850163,0.73016,0.821414,0.784637,0.803084,0.713128,0.800441
0.818623,0.847569,0.814151,0.875208,1.0,0.730898,0.781068,0.891283,0.869468,0.78837,0.736861,0.687867,0.687451,0.677534,0.840314,0.770991,0.7409,0.766782,0.734104,0.786438,0.7916832,0.762937,0.784772,0.751266,0.751614,0.762387,0.78472,0.802818,0.827542,0.745249,0.864226,0.792961,0.732945,0.794433,0.671028,0.7750016,0.6989712,0.755016,0.746371,0.780711,0.705845,0.728471,0.646537,0.868873,0.868802,0.776478,0.748264,0.763299,0.830496,0.785085,0.855506,0.793077,0.819434,0.884039,0.87627,0.757489,0.906545,0.853464,0.714292,0.797314,0.750904,0.68682,0.740551,0.787385,0.752625,0.740647,0.825706,0.661158,0.714726,0.7719931,0.7622758,0.62078,0.804293,0.745092,0.772982,0.803038,0.802285,0.83724,0.779087,0.849817,0.739911,0.715393,0.762501,0.678751,0.699817,0.6225739,0.803951,0.74664,0.81358,0.85299,0.776427,0.88002,0.798791,0.864532,0.768975,0.866841,0.708736,0.719414,0.832078,0.823205
0.869548,0.764019,0.835511,0.822098,0.730898,1.0,0.757963,0.786079,0.811259,0.86626,0.900414,0.775318,0.662271,0.721286,0.80643,0.793206,0.803373,0.793386,0.742746,0.755457,0.73972,0.776697,0.74259,0.7595151,0.929066,0.79876,0.751912,0.821067,0.804647,0.742512,0.726164,0.855437,0.813312,0.798209,0.691259,0.787238,0.829251,0.799164,0.760631,0.766731,0.784392,0.800064,0.808394,0.722693,0.837205,0.738906,0.744619,0.753411,0.806382,0.890187,0.805433,0.803123,0.771544,0.788745,0.80816,0.912036,0.799794,0.810212,0.817021,0.842706,0.793974,0.776455,0.708699,0.744091,0.746598,0.774182,0.798043,0.812415,0.756512,0.708345,0.742601,0.784775,0.798214,0.841975,0.769497,0.823334,0.786942,0.818654,0.741294,0.820882,0.748306,0.772896,0.804932,0.781235,0.848646,0.859225,0.702876,0.833371,0.790445,0.834983,0.652236,0.756975,0.818998,0.837431,0.855953,0.857495,0.784121,0.760701,0.855929,0.852459
0.8198854,0.938456,0.864747,0.752447,0.781068,0.757963,1.0,0.735481,0.728546,0.774954,0.740974,0.674482,0.6631,0.719661,0.815078,0.857498,0.870401,0.824686,0.840097,0.858402,0.908829,0.83056,0.73644,0.766617,0.796984,0.877806,0.739804,0.81489,0.886028,0.753499,0.838074,0.836608,0.767832,0.877699,0.747097,0.76921,0.813243,0.84408,0.864901,0.794542,0.735849,0.707124,0.6219179,0.812628,0.780996,0.75623,0.660088,0.819052,0.898469,0.833501,0.862873,0.919033,0.898028,0.736806,0.897571,0.816306,0.766759,0.707428,0.712531,0.777957,0.731941,0.7956147,0.691252,0.830646,0.757196,0.758598,0.916921,0.659398,0.790559,0.86773,0.895662,0.77219,0.780909,0.869829,0.708997,0.817678,0.859022,0.77733,0.917608,0.877482,0.705922,0.83542,0.842537,0.780895,0.793413,0.763033,0.780773,0.751517,0.782161,0.82352,0.722764,0.870622,0.878888,0.872855,0.778043,0.825156,0.6930733,0.72881,0.854222,0.844156
0.793799,0.82462,0.855093,0.898268,0.891283,0.786079,0.735481,1.0,0.916061,0.792431,0.794914,0.697612,0.720001,0.740297,0.86741,0.76174,0.738643,0.7465097,0.732268,0.774362,0.737597,0.740774,0.783908,0.771126,0.821568,0.811433,0.825128,0.771795,0.809878,0.785994,0.831418,0.811353,0.745045,0.830441,0.708455,0.842695,0.774942,0.776236,0.752139,0.834741,0.793532,0.819234,0.75901,0.816294,0.866298,0.76363,0.792575,0.858359,0.720382,0.81965,0.8098342,0.759891,0.829814,0.919386,0.842499,0.81402,0.93264,0.950743,0.747113,0.859971,0.794371,0.76017,0.71003,0.840842,0.796367,0.824616,0.838327,0.7236935,0.769313,0.688016,0.691527,0.657393,0.913225,0.72398,0.7706967,0.826629,0.775288,0.889415,0.70476,0.853783,0.7964024,0.739715,0.795398,0.742773,0.721248,0.72396,0.7556674,0.738801,0.784845,0.86243,0.772909,0.815619,0.779438,0.870558,0.729131,0.820494,0.785964,0.843138,0.739577,0.82215
0.766843,0.760011,0.765592,0.846081,0.869468,0.811259,0.728546,0.916061,1.0,0.81858,0.83741,0.689096,0.757579,0.680648,0.8196972,0.687358,0.803373,0.680272,0.758761,0.655641,0.680009,0.775183,0.781572,0.715676,0.889479,0.775107,0.800022,0.800297,0.815226,0.820687,0.830148,0.772902,0.692618,0.867648,0.782191,0.770076,0.814168,0.714142,0.793994,0.783255,0.746268,0.79588,0.788171,0.775006,0.798543,0.725226,0.73374,0.826857,0.746116,0.798623,0.847689,0.736826,0.793012,0.898854,0.768552,0.780355,0.908846,0.942642,0.70468,0.846447,0.817102,0.756597,0.750162,0.745443,0.744231,0.695024,0.83827,0.676096,0.715996,0.71907,0.665847,0.707137,0.803776,0.816032,0.780439,0.820852,0.793461,0.847135,0.70966,0.896044,0.784869,0.775663,0.780095,0.712416,0.826548,0.773559,0.808376,0.787146,0.74827,0.885977,0.766631,0.870754,0.884449,0.890059,0.772526,0.828026,0.746433,0.797192,0.756427,0.844803
0.814233,0.762103,0.797086,0.843277,0.78837,0.86626,0.774954,0.792431,0.81858,1.0,0.843619,0.752212,0.733742,0.738504,0.813043,0.755543,0.789636,0.756405,0.746771,0.771738,0.770671,0.745819,0.76665,0.77742,0.855214,0.823965,0.800619,0.896339,0.818629,0.793336,0.76297,0.773004,0.750492,0.812782,0.673104,0.769179,0.813649,0.705244,0.77363,0.788917,0.773004,0.770236,0.711586,0.762981,0.858008,0.74997,0.792965,0.79034,0.837916,0.868149,0.848684,0.775034,0.83044,0.852957,0.80621,0.810409,0.839562,0.782777,0.737087,0.867643,0.842287,0.765425,0.7717426,0.7122427,0.714594,0.752842,0.849206,0.756429,0.733031,0.792549,0.767377,0.734882,0.819867,0.782375,0.784873,0.847586,0.805403,0.853533,0.764457,0.7614841,0.835784,0.783711,0.80772,0.735259,0.77336,0.727587,0.800899,0.851397,0.77085,0.851644,0.777604,0.798884,0.824178,0.824746,0.834132,0.876716,0.78925,0.77905,0.827822,0.849367
